asset_id,department,section_id,division,asset_type,defect_type,defect_severity,days_overdue,due_date,estimated_block_duration_hours,repeat_defect_count,sla_flag,asset_criticality_class,safety_risk_flag,priority_score
TRK-SEC-08-0018,Engineering,SEC-08,Firozpur,Track Geometry,Track Geometry - Twist,Minor,-8,2026-09-06,1.9,0,True,Branch Line,False,22.5
TRK-SEC-04-0019,Engineering,SEC-04,Delhi,Ballast,Weld Defect,Critical,8,2026-08-21,6.8,0,True,Trunk Route,True,75.3
TRK-SEC-04-0020,Engineering,SEC-04,Delhi,Formation,Rail Wear,Major,12,2026-08-17,3.5,0,False,Branch Line,True,51.0
TRK-SEC-04-0021,Engineering,SEC-04,Delhi,Rail,Weld Defect,Critical,27,2026-08-02,6.6,1,True,Branch Line,True,86.3
TRK-SEC-01-0022,Engineering,SEC-01,Ambala,Weld,Rail Wear,Major,-2,2026-08-31,3.0,0,False,Trunk Route,True,48.0
TRK-SEC-03-0023,Engineering,SEC-03,Delhi,Track Geometry,Rail Fracture,Major,-3,2026-09-01,2.7,0,True,Trunk Route,False,38.0
TRK-SEC-02-0024,Engineering,SEC-02,Ambala,Formation,Rail Fracture,Minor,-10,2026-09-08,2.7,0,False,Branch Line,False,12.5
TRK-SEC-03-0025,Engineering,SEC-03,Delhi,Track Geometry,Formation/Subgrade Defect,Major,3,2026-08-26,5.0,0,False,Branch Line,False,25.0
TRK-SEC-03-0026,Engineering,SEC-03,Delhi,Rail,Rail Fracture,Major,-4,2026-09-02,2.7,1,False,Trunk Route,False,31.3
TRK-SEC-08-0027,Engineering,SEC-08,Firozpur,Rail,Weld Defect,Minor,-10,2026-09-08,2.7,0,False,Trunk Route,False,17.5
TRK-SEC-04-0028,Engineering,SEC-04,Delhi,Formation,Ballast Deficiency,Major,13,2026-08-16,4.8,0,False,Trunk Route,True,56.7
TRK-SEC-05-0029,Engineering,SEC-05,Moradabad,Ballast,Formation/Subgrade Defect,Major,2,2026-08-27,4.1,1,False,Trunk Route,True,52.7
TRK-SEC-06-0030,Engineering,SEC-06,Moradabad,Weld,Gauge Widening,Minor,-15,2026-09-13,2.9,0,True,Trunk Route,False,27.5
TRK-SEC-03-0031,Engineering,SEC-03,Delhi,Track Geometry,Gauge Widening,Minor,-8,2026-09-06,2.8,1,False,Trunk Route,False,20.8
TRK-SEC-01-0032,Engineering,SEC-01,Ambala,Rail,Track Geometry - Unevenness,Minor,6,2026-08-23,2.1,0,False,Trunk Route,False,21.5
TRK-SEC-05-0033,Engineering,SEC-05,Moradabad,Ballast,Rail Fracture,Major,5,2026-08-24,2.6,0,False,Branch Line,True,46.3
TRK-SEC-02-0034,Engineering,SEC-02,Ambala,Ballast,Track Geometry - Unevenness,Minor,-14,2026-09-12,2.7,3,False,Trunk Route,True,47.5
TRK-SEC-08-0035,Engineering,SEC-08,Firozpur,Ballast,Track Geometry - Unevenness,Minor,-15,2026-09-13,1.9,3,False,Trunk Route,False,27.5
TRK-SEC-07-0036,Engineering,SEC-07,Firozpur,Weld,Weld Defect,Critical,7,2026-08-22,5.2,2,True,Trunk Route,False,61.3
TRK-SEC-06-0037,Engineering,SEC-06,Moradabad,Weld,Track Geometry - Unevenness,Minor,-2,2026-08-31,2.8,0,False,Trunk Route,False,17.5
TRK-SEC-03-0038,Engineering,SEC-03,Delhi,Weld,Gauge Widening,Minor,8,2026-08-21,1.0,0,False,Branch Line,False,17.8
TRK-SEC-03-0039,Engineering,SEC-03,Delhi,Formation,Ballast Deficiency,Minor,-14,2026-09-12,1.2,1,False,Trunk Route,False,20.8
TRK-SEC-05-0040,Engineering,SEC-05,Moradabad,Ballast,Weld Defect,Minor,-8,2026-09-06,2.7,0,False,Trunk Route,True,37.5
TRK-SEC-05-0041,Engineering,SEC-05,Moradabad,Rail,Gauge Widening,Major,16,2026-08-13,3.5,0,False,Branch Line,False,33.7
TRK-SEC-03-0042,Engineering,SEC-03,Delhi,Ballast,Rail Wear,Minor,-14,2026-09-12,3.0,0,False,Branch Line,False,12.5
TRK-SEC-02-0043,Engineering,SEC-02,Ambala,Track Geometry,Track Geometry - Twist,Major,3,2026-08-26,3.7,0,True,Branch Line,True,55.0
TRK-SEC-06-0044,Engineering,SEC-06,Moradabad,Ballast,Gauge Widening,Major,5,2026-08-24,4.8,2,False,Trunk Route,False,38.0
TRK-SEC-07-0045,Engineering,SEC-07,Firozpur,Formation,Track Geometry - Unevenness,Major,12,2026-08-17,4.1,0,False,Branch Line,True,51.0
TRK-SEC-05-0046,Engineering,SEC-05,Moradabad,Track Geometry,Ballast Deficiency,Major,4,2026-08-25,4.5,1,False,Branch Line,True,49.0
TRK-SEC-08-0047,Engineering,SEC-08,Firozpur,Ballast,Ballast Deficiency,Major,11,2026-08-18,4.0,0,False,Trunk Route,False,35.3
TRK-SEC-02-0048,Engineering,SEC-02,Ambala,Rail,Track Geometry - Twist,Minor,6,2026-08-23,2.5,0,False,Trunk Route,False,21.5
TRK-SEC-08-0049,Engineering,SEC-08,Firozpur,Formation,Formation/Subgrade Defect,Minor,-1,2026-08-30,2.5,0,False,Trunk Route,False,17.5
TRK-SEC-07-0050,Engineering,SEC-07,Firozpur,Weld,Track Geometry - Unevenness,Major,-5,2026-09-03,4.0,0,False,Trunk Route,False,28.0
TRK-SEC-08-0051,Engineering,SEC-08,Firozpur,Track Geometry,Ballast Deficiency,Critical,12,2026-08-17,5.0,3,True,Branch Line,True,83.0
TRK-SEC-08-0052,Engineering,SEC-08,Firozpur,Formation,Formation/Subgrade Defect,Minor,1,2026-08-28,2.4,1,False,Branch Line,False,16.5
TRK-SEC-05-0053,Engineering,SEC-05,Moradabad,Ballast,Formation/Subgrade Defect,Minor,-7,2026-09-05,2.7,3,False,Branch Line,False,22.5
TRK-SEC-02-0054,Engineering,SEC-02,Ambala,Weld,Rail Wear,Minor,-5,2026-09-03,1.5,2,False,Trunk Route,False,24.2
TRK-SEC-03-0055,Engineering,SEC-03,Delhi,Weld,Rail Wear,Minor,-2,2026-08-31,1.1,1,False,Branch Line,False,15.8
TRK-SEC-07-0056,Engineering,SEC-07,Firozpur,Ballast,Gauge Widening,Minor,7,2026-08-22,2.2,2,False,Branch Line,True,43.8
TRK-SEC-07-0057,Engineering,SEC-07,Firozpur,Ballast,Rail Wear,Minor,-2,2026-08-31,2.9,0,False,Trunk Route,False,17.5
TRK-SEC-08-0058,Engineering,SEC-08,Firozpur,Weld,Rail Fracture,Critical,30,2026-07-30,5.3,0,True,Branch Line,True,85.0
TRK-SEC-07-0059,Engineering,SEC-07,Firozpur,Weld,Rail Fracture,Minor,-13,2026-09-11,2.3,0,False,Trunk Route,False,17.5
TRK-SEC-05-0060,Engineering,SEC-05,Moradabad,Formation,Gauge Widening,Major,5,2026-08-24,2.6,0,False,Branch Line,True,46.3
TRK-SEC-02-0061,Engineering,SEC-02,Ambala,Rail,Rail Fracture,Major,-4,2026-09-02,4.2,0,False,Branch Line,False,23.0
TRK-SEC-01-0062,Engineering,SEC-01,Ambala,Rail,Track Geometry - Twist,Minor,-15,2026-09-13,1.4,0,False,Trunk Route,False,17.5
TRK-SEC-08-0063,Engineering,SEC-08,Firozpur,Weld,Gauge Widening,Minor,-10,2026-09-08,2.5,2,False,Trunk Route,False,24.2
TRK-SEC-02-0064,Engineering,SEC-02,Ambala,Weld,Weld Defect,Minor,3,2026-08-26,2.9,0,False,Branch Line,False,14.5
TRK-SEC-04-0065,Engineering,SEC-04,Delhi,Ballast,Rail Wear,Critical,12,2026-08-17,7.1,0,True,Trunk Route,True,78.0
TRK-SEC-06-0066,Engineering,SEC-06,Moradabad,Rail,Rail Wear,Critical,5,2026-08-24,6.6,0,True,Branch Line,True,68.3
TRK-SEC-06-0067,Engineering,SEC-06,Moradabad,Ballast,Formation/Subgrade Defect,Minor,7,2026-08-22,2.7,0,False,Trunk Route,False,22.2
TRK-SEC-08-0068,Engineering,SEC-08,Firozpur,Rail,Gauge Widening,Major,3,2026-08-26,4.2,2,False,Trunk Route,True,56.7
TRK-SEC-08-0069,Engineering,SEC-08,Firozpur,Ballast,Track Geometry - Unevenness,Major,14,2026-08-15,3.4,0,True,Branch Line,False,42.3
TRK-SEC-08-0070,Engineering,SEC-08,Firozpur,Track Geometry,Track Geometry - Twist,Major,5,2026-08-24,4.4,3,False,Branch Line,True,56.3
TRK-SEC-02-0071,Engineering,SEC-02,Ambala,Formation,Formation/Subgrade Defect,Major,12,2026-08-17,3.2,1,False,Branch Line,False,34.3
TRK-SEC-01-0072,Engineering,SEC-01,Ambala,Formation,Ballast Deficiency,Critical,20,2026-08-09,4.9,0,True,Branch Line,True,78.3
TRK-SEC-07-0073,Engineering,SEC-07,Firozpur,Weld,Weld Defect,Minor,-4,2026-09-02,2.1,0,False,Branch Line,False,12.5
TRK-SEC-04-0074,Engineering,SEC-04,Delhi,Formation,Gauge Widening,Major,19,2026-08-10,4.2,2,False,Trunk Route,False,47.3
TRK-SEC-05-0075,Engineering,SEC-05,Moradabad,Track Geometry,Track Geometry - Unevenness,Minor,-6,2026-09-04,2.7,1,False,Trunk Route,False,20.8
TRK-SEC-05-0076,Engineering,SEC-05,Moradabad,Formation,Weld Defect,Critical,23,2026-08-06,4.2,1,True,Trunk Route,True,88.7
TRK-SEC-01-0077,Engineering,SEC-01,Ambala,Formation,Weld Defect,Minor,-1,2026-08-30,1.9,1,False,Trunk Route,False,20.8
TRK-SEC-02-0078,Engineering,SEC-02,Ambala,Track Geometry,Gauge Widening,Major,15,2026-08-14,2.2,0,False,Trunk Route,False,38.0
TRK-SEC-02-0079,Engineering,SEC-02,Ambala,Formation,Formation/Subgrade Defect,Minor,9,2026-08-20,1.2,0,False,Trunk Route,False,23.5
TRK-SEC-08-0080,Engineering,SEC-08,Firozpur,Rail,Track Geometry - Twist,Major,8,2026-08-21,3.8,0,False,Trunk Route,True,53.3
TRK-SEC-04-0081,Engineering,SEC-04,Delhi,Formation,Formation/Subgrade Defect,Major,2,2026-08-27,2.2,2,False,Trunk Route,True,56.0
TRK-SEC-08-0082,Engineering,SEC-08,Firozpur,Weld,Gauge Widening,Major,17,2026-08-12,2.7,1,True,Branch Line,True,67.7
TRK-SEC-04-0083,Engineering,SEC-04,Delhi,Rail,Rail Fracture,Major,15,2026-08-14,3.6,0,False,Branch Line,True,53.0
TRK-SEC-03-0084,Engineering,SEC-03,Delhi,Ballast,Rail Wear,Minor,3,2026-08-26,2.2,0,False,Branch Line,False,14.5
TRK-SEC-05-0085,Engineering,SEC-05,Moradabad,Track Geometry,Gauge Widening,Minor,-13,2026-09-11,2.0,0,False,Branch Line,False,12.5
TRK-SEC-01-0086,Engineering,SEC-01,Ambala,Track Geometry,Rail Fracture,Critical,6,2026-08-23,7.8,0,True,Branch Line,False,49.0
TRK-SEC-03-0087,Engineering,SEC-03,Delhi,Formation,Weld Defect,Major,3,2026-08-26,4.0,1,False,Branch Line,True,48.3
TRK-SEC-08-0088,Engineering,SEC-08,Firozpur,Formation,Gauge Widening,Major,16,2026-08-13,3.0,1,False,Trunk Route,True,62.0
TRK-SEC-07-0089,Engineering,SEC-07,Firozpur,Formation,Rail Fracture,Minor,-1,2026-08-30,2.1,2,False,Branch Line,False,19.2
TRK-SEC-08-0090,Engineering,SEC-08,Firozpur,Rail,Track Geometry - Twist,Major,6,2026-08-23,2.6,0,False,Branch Line,False,27.0
TRK-SEC-05-0091,Engineering,SEC-05,Moradabad,Track Geometry,Track Geometry - Twist,Minor,-1,2026-08-30,2.9,0,False,Branch Line,False,12.5
TRK-SEC-03-0092,Engineering,SEC-03,Delhi,Rail,Track Geometry - Unevenness,Major,8,2026-08-21,2.0,1,False,Trunk Route,True,56.7
TRK-SEC-08-0093,Engineering,SEC-08,Firozpur,Weld,Formation/Subgrade Defect,Minor,7,2026-08-22,1.6,1,False,Branch Line,False,20.5
TRK-SEC-03-0094,Engineering,SEC-03,Delhi,Ballast,Rail Wear,Major,11,2026-08-18,4.8,1,False,Trunk Route,False,38.7
TRK-SEC-06-0095,Engineering,SEC-06,Moradabad,Track Geometry,Formation/Subgrade Defect,Minor,-15,2026-09-13,2.0,1,False,Branch Line,False,15.8
TRK-SEC-03-0096,Engineering,SEC-03,Delhi,Ballast,Track Geometry - Twist,Major,5,2026-08-24,3.5,0,False,Branch Line,False,26.3
TRK-SEC-04-0097,Engineering,SEC-04,Delhi,Formation,Rail Wear,Minor,9,2026-08-20,1.5,0,False,Branch Line,False,18.5
TRK-SEC-03-0098,Engineering,SEC-03,Delhi,Formation,Weld Defect,Major,11,2026-08-18,2.1,0,False,Branch Line,False,30.3
TRK-SEC-08-0099,Engineering,SEC-08,Firozpur,Ballast,Rail Wear,Critical,14,2026-08-15,4.6,0,True,Branch Line,True,74.3
TRK-SEC-02-0100,Engineering,SEC-02,Ambala,Formation,Rail Fracture,Minor,2,2026-08-27,2.7,0,False,Branch Line,False,13.8
TRK-SEC-02-0101,Engineering,SEC-02,Ambala,Rail,Weld Defect,Major,4,2026-08-25,4.1,0,False,Trunk Route,False,30.7
TRK-SEC-08-0102,Engineering,SEC-08,Firozpur,Ballast,Rail Wear,Major,-5,2026-09-03,2.9,1,False,Trunk Route,True,51.3
TRK-SEC-03-0103,Engineering,SEC-03,Delhi,Track Geometry,Rail Wear,Major,16,2026-08-13,3.2,0,False,Trunk Route,False,38.7
TRK-SEC-04-0104,Engineering,SEC-04,Delhi,Rail,Formation/Subgrade Defect,Major,2,2026-08-27,3.7,0,False,Branch Line,False,24.3
TRK-SEC-05-0105,Engineering,SEC-05,Moradabad,Formation,Gauge Widening,Minor,-1,2026-08-30,1.3,2,False,Branch Line,False,19.2
TRK-SEC-08-0106,Engineering,SEC-08,Firozpur,Track Geometry,Ballast Deficiency,Minor,-3,2026-09-01,1.4,0,False,Trunk Route,False,17.5
TRK-SEC-05-0107,Engineering,SEC-05,Moradabad,Rail,Formation/Subgrade Defect,Minor,6,2026-08-23,1.6,0,False,Trunk Route,False,21.5
TRK-SEC-05-0108,Engineering,SEC-05,Moradabad,Weld,Weld Defect,Minor,10,2026-08-19,1.5,1,False,Trunk Route,False,27.5
TRK-SEC-01-0109,Engineering,SEC-01,Ambala,Ballast,Ballast Deficiency,Major,13,2026-08-16,3.3,0,True,Trunk Route,False,46.7
TRK-SEC-07-0110,Engineering,SEC-07,Firozpur,Ballast,Track Geometry - Unevenness,Major,12,2026-08-17,2.4,0,False,Branch Line,False,31.0
TRK-SEC-05-0111,Engineering,SEC-05,Moradabad,Formation,Weld Defect,Minor,10,2026-08-19,2.9,0,False,Branch Line,False,19.2
TRK-SEC-03-0112,Engineering,SEC-03,Delhi,Track Geometry,Ballast Deficiency,Minor,6,2026-08-23,1.5,0,False,Branch Line,False,16.5
TRK-SEC-02-0113,Engineering,SEC-02,Ambala,Ballast,Rail Wear,Minor,2,2026-08-27,1.0,2,False,Branch Line,False,20.5
TRK-SEC-06-0114,Engineering,SEC-06,Moradabad,Track Geometry,Track Geometry - Twist,Critical,6,2026-08-23,4.9,2,True,Branch Line,True,75.7
TRK-SEC-02-0115,Engineering,SEC-02,Ambala,Rail,Rail Fracture,Minor,7,2026-08-22,1.9,1,False,Branch Line,False,20.5
TRK-SEC-05-0116,Engineering,SEC-05,Moradabad,Ballast,Rail Wear,Minor,-8,2026-09-06,1.2,2,False,Trunk Route,False,24.2
TRK-SEC-03-0117,Engineering,SEC-03,Delhi,Ballast,Track Geometry - Twist,Minor,0,2026-08-29,2.3,2,True,Branch Line,False,29.2
TRK-SEC-08-0118,Engineering,SEC-08,Firozpur,Ballast,Rail Fracture,Major,6,2026-08-23,2.7,0,False,Branch Line,True,47.0
TRK-SEC-07-0119,Engineering,SEC-07,Firozpur,Track Geometry,Rail Fracture,Major,9,2026-08-20,4.9,2,False,Trunk Route,True,60.7
TRK-SEC-01-0120,Engineering,SEC-01,Ambala,Track Geometry,Track Geometry - Twist,Minor,-11,2026-09-09,1.5,0,True,Trunk Route,False,27.5
TRK-SEC-04-0121,Engineering,SEC-04,Delhi,Weld,Track Geometry - Unevenness,Minor,9,2026-08-20,1.5,2,False,Trunk Route,False,30.2
TRK-SEC-05-0122,Engineering,SEC-05,Moradabad,Weld,Ballast Deficiency,Minor,-15,2026-09-13,1.2,2,False,Branch Line,False,19.2
TRK-SEC-01-0123,Engineering,SEC-01,Ambala,Formation,Formation/Subgrade Defect,Major,18,2026-08-11,2.2,0,False,Trunk Route,False,40.0
TRK-SEC-06-0124,Engineering,SEC-06,Moradabad,Track Geometry,Gauge Widening,Minor,1,2026-08-28,1.2,0,False,Trunk Route,False,18.2
TRK-SEC-08-0125,Engineering,SEC-08,Firozpur,Formation,Formation/Subgrade Defect,Minor,0,2026-08-29,1.1,0,False,Branch Line,False,12.5
TRK-SEC-02-0126,Engineering,SEC-02,Ambala,Track Geometry,Ballast Deficiency,Minor,-11,2026-09-09,1.6,0,False,Branch Line,False,12.5
TRK-SEC-07-0127,Engineering,SEC-07,Firozpur,Rail,Track Geometry - Twist,Minor,-1,2026-08-30,2.1,2,True,Branch Line,False,29.2
TRK-SEC-07-0128,Engineering,SEC-07,Firozpur,Rail,Ballast Deficiency,Major,5,2026-08-24,2.7,2,False,Branch Line,False,33.0
TRK-SEC-07-0129,Engineering,SEC-07,Firozpur,Rail,Weld Defect,Major,-1,2026-08-30,2.8,0,True,Branch Line,False,33.0
TRK-SEC-07-0130,Engineering,SEC-07,Firozpur,Rail,Rail Wear,Critical,13,2026-08-16,7.0,0,True,Branch Line,True,73.7
TRK-SEC-06-0131,Engineering,SEC-06,Moradabad,Track Geometry,Gauge Widening,Minor,-2,2026-08-31,2.9,0,False,Trunk Route,False,17.5
TRK-SEC-06-0132,Engineering,SEC-06,Moradabad,Rail,Ballast Deficiency,Critical,14,2026-08-15,6.0,0,True,Trunk Route,True,79.3
TRK-SEC-06-0133,Engineering,SEC-06,Moradabad,Track Geometry,Gauge Widening,Critical,19,2026-08-10,5.1,0,True,Trunk Route,True,82.7
TRK-SEC-01-0134,Engineering,SEC-01,Ambala,Weld,Rail Wear,Major,4,2026-08-25,4.1,0,True,Branch Line,False,35.7
TRK-SEC-02-0135,Engineering,SEC-02,Ambala,Formation,Rail Wear,Critical,6,2026-08-23,6.5,3,True,Trunk Route,True,84.0
TRK-SEC-08-0136,Engineering,SEC-08,Firozpur,Weld,Track Geometry - Unevenness,Major,18,2026-08-11,3.1,0,False,Trunk Route,True,60.0
TRK-SEC-01-0137,Engineering,SEC-01,Ambala,Weld,Weld Defect,Minor,6,2026-08-23,1.5,0,False,Branch Line,False,16.5
TRK-SEC-06-0138,Engineering,SEC-06,Moradabad,Formation,Rail Fracture,Major,16,2026-08-13,2.8,1,True,Branch Line,False,47.0
TRK-SEC-01-0139,Engineering,SEC-01,Ambala,Rail,Rail Fracture,Major,19,2026-08-10,4.8,0,False,Branch Line,True,55.7
TRK-SEC-08-0140,Engineering,SEC-08,Firozpur,Ballast,Weld Defect,Minor,-3,2026-09-01,1.4,3,False,Trunk Route,False,27.5
TRK-SEC-07-0141,Engineering,SEC-07,Firozpur,Track Geometry,Rail Wear,Minor,-15,2026-09-13,1.1,3,False,Trunk Route,False,27.5
TRK-SEC-07-0142,Engineering,SEC-07,Firozpur,Track Geometry,Formation/Subgrade Defect,Minor,-12,2026-09-10,1.8,0,False,Branch Line,False,12.5
TRK-SEC-06-0143,Engineering,SEC-06,Moradabad,Track Geometry,Weld Defect,Critical,20,2026-08-09,7.4,0,True,Branch Line,True,78.3
TRK-SEC-07-0144,Engineering,SEC-07,Firozpur,Rail,Track Geometry - Twist,Minor,-8,2026-09-06,2.5,0,True,Trunk Route,False,27.5
TRK-SEC-06-0145,Engineering,SEC-06,Moradabad,Ballast,Track Geometry - Twist,Major,15,2026-08-14,4.9,0,False,Trunk Route,False,38.0
TRK-SEC-03-0146,Engineering,SEC-03,Delhi,Track Geometry,Formation/Subgrade Defect,Minor,5,2026-08-24,2.5,0,False,Branch Line,False,15.8
TRK-SEC-06-0147,Engineering,SEC-06,Moradabad,Ballast,Gauge Widening,Minor,-11,2026-09-09,2.3,1,False,Branch Line,False,15.8
TRK-SEC-01-0148,Engineering,SEC-01,Ambala,Ballast,Weld Defect,Major,9,2026-08-20,2.2,0,False,Trunk Route,False,34.0
TRK-SEC-02-0149,Engineering,SEC-02,Ambala,Track Geometry,Track Geometry - Twist,Minor,-1,2026-08-30,2.0,0,False,Trunk Route,False,17.5
TRK-SEC-06-0150,Engineering,SEC-06,Moradabad,Rail,Track Geometry - Unevenness,Minor,-14,2026-09-12,2.0,0,False,Branch Line,False,12.5
TRK-SEC-01-0151,Engineering,SEC-01,Ambala,Ballast,Rail Wear,Major,9,2026-08-20,3.3,2,False,Trunk Route,False,40.7
TRK-SEC-07-0152,Engineering,SEC-07,Firozpur,Rail,Rail Wear,Minor,-14,2026-09-12,2.4,0,True,Branch Line,False,22.5
TRK-SEC-05-0153,Engineering,SEC-05,Moradabad,Weld,Ballast Deficiency,Major,14,2026-08-15,4.6,0,True,Branch Line,False,42.3
TRK-SEC-05-0154,Engineering,SEC-05,Moradabad,Formation,Ballast Deficiency,Minor,-3,2026-09-01,2.4,0,False,Trunk Route,False,17.5
TRK-SEC-03-0155,Engineering,SEC-03,Delhi,Formation,Ballast Deficiency,Minor,8,2026-08-21,2.7,3,False,Trunk Route,False,32.8
TRK-SEC-01-0156,Engineering,SEC-01,Ambala,Weld,Track Geometry - Unevenness,Major,1,2026-08-28,2.5,0,False,Branch Line,True,43.7
TRK-SEC-02-0157,Engineering,SEC-02,Ambala,Track Geometry,Track Geometry - Unevenness,Major,11,2026-08-18,4.4,1,False,Trunk Route,False,38.7
TRK-SEC-07-0158,Engineering,SEC-07,Firozpur,Rail,Rail Wear,Major,17,2026-08-12,2.5,1,False,Trunk Route,False,42.7
TRK-SEC-06-0159,Engineering,SEC-06,Moradabad,Weld,Gauge Widening,Minor,-1,2026-08-30,1.5,0,False,Branch Line,False,12.5
TRK-SEC-08-0160,Engineering,SEC-08,Firozpur,Ballast,Rail Wear,Minor,6,2026-08-23,1.4,1,False,Branch Line,False,19.8
TRK-SEC-07-0161,Engineering,SEC-07,Firozpur,Formation,Ballast Deficiency,Minor,10,2026-08-19,2.6,0,True,Branch Line,False,29.2
TRK-SEC-02-0162,Engineering,SEC-02,Ambala,Track Geometry,Track Geometry - Unevenness,Minor,-12,2026-09-10,2.0,1,False,Trunk Route,False,20.8
TRK-SEC-07-0163,Engineering,SEC-07,Firozpur,Formation,Rail Fracture,Critical,33,2026-07-27,7.6,1,True,Trunk Route,False,73.3
TRK-SEC-07-0164,Engineering,SEC-07,Firozpur,Rail,Ballast Deficiency,Minor,-13,2026-09-11,1.5,0,False,Trunk Route,False,17.5
TRK-SEC-03-0165,Engineering,SEC-03,Delhi,Formation,Formation/Subgrade Defect,Critical,35,2026-07-25,5.1,0,True,Trunk Route,True,90.0
TRK-SEC-01-0166,Engineering,SEC-01,Ambala,Ballast,Track Geometry - Twist,Minor,-9,2026-09-07,1.0,2,False,Branch Line,False,19.2
TRK-SEC-05-0167,Engineering,SEC-05,Moradabad,Track Geometry,Rail Fracture,Critical,34,2026-07-26,5.0,0,True,Branch Line,True,85.0
TRK-SEC-04-0168,Engineering,SEC-04,Delhi,Weld,Weld Defect,Minor,-15,2026-09-13,1.6,0,False,Trunk Route,False,17.5
TRK-SEC-06-0169,Engineering,SEC-06,Moradabad,Formation,Formation/Subgrade Defect,Critical,37,2026-07-23,6.1,0,True,Trunk Route,True,90.0
TRK-SEC-01-0170,Engineering,SEC-01,Ambala,Ballast,Track Geometry - Twist,Minor,-7,2026-09-05,3.0,1,False,Branch Line,False,15.8
TRK-SEC-02-0171,Engineering,SEC-02,Ambala,Weld,Formation/Subgrade Defect,Minor,-5,2026-09-03,2.5,1,False,Branch Line,False,15.8
TRK-SEC-08-0172,Engineering,SEC-08,Firozpur,Weld,Rail Fracture,Minor,-13,2026-09-11,2.6,0,True,Branch Line,False,22.5
TRK-SEC-04-0173,Engineering,SEC-04,Delhi,Weld,Gauge Widening,Minor,-6,2026-09-04,1.6,0,False,Branch Line,False,12.5
TRK-SEC-06-0174,Engineering,SEC-06,Moradabad,Formation,Rail Wear,Minor,5,2026-08-24,1.1,0,False,Trunk Route,False,20.8
TRK-SEC-08-0175,Engineering,SEC-08,Firozpur,Track Geometry,Gauge Widening,Minor,-10,2026-09-08,1.8,1,False,Branch Line,False,15.8
TRK-SEC-02-0176,Engineering,SEC-02,Ambala,Ballast,Weld Defect,Minor,4,2026-08-25,1.2,0,False,Trunk Route,False,20.2
TRK-SEC-02-0177,Engineering,SEC-02,Ambala,Formation,Ballast Deficiency,Major,9,2026-08-20,2.9,1,False,Branch Line,False,32.3
TRK-SEC-08-0178,Engineering,SEC-08,Firozpur,Ballast,Rail Fracture,Critical,27,2026-08-02,7.5,0,True,Branch Line,True,83.0
