section_id,division,window_date,day_of_week,window_start_hour,available_duration_hours,surrounding_traffic_load
SEC-03,Delhi,2026-09-24,Thursday,1,2.1,High
SEC-05,Moradabad,2026-09-24,Thursday,0,1.5,Low
SEC-06,Moradabad,2026-09-24,Thursday,1,5.4,Low
SEC-06,Moradabad,2026-09-24,Thursday,22,3.4,Medium
SEC-07,Firozpur,2026-09-24,Thursday,1,1.7,High
SEC-08,Firozpur,2026-09-24,Thursday,23,3.9,Low
SEC-08,Firozpur,2026-09-24,Thursday,21,3.7,Low
SEC-01,Ambala,2026-09-25,Friday,22,3.0,Medium
SEC-03,Delhi,2026-09-25,Friday,0,3.2,Low
SEC-04,Delhi,2026-09-25,Friday,1,4.6,Low
SEC-05,Moradabad,2026-09-25,Friday,1,3.0,Low
SEC-06,Moradabad,2026-09-25,Friday,1,3.4,Low
SEC-07,Firozpur,2026-09-25,Friday,22,2.1,Low
SEC-08,Firozpur,2026-09-25,Friday,1,4.9,Low
SEC-08,Firozpur,2026-09-25,Friday,22,2.4,Low
SEC-01,Ambala,2026-09-26,Saturday,23,1.5,Medium
SEC-03,Delhi,2026-09-26,Saturday,23,1.8,Low
SEC-04,Delhi,2026-09-26,Saturday,0,5.9,Low
SEC-05,Moradabad,2026-09-26,Saturday,1,3.4,High
SEC-06,Moradabad,2026-09-26,Saturday,1,5.2,Low
SEC-07,Firozpur,2026-09-26,Saturday,22,2.2,Low
SEC-08,Firozpur,2026-09-26,Saturday,0,2.1,Low
SEC-08,Firozpur,2026-09-26,Saturday,1,5.8,Low
SEC-02,Ambala,2026-09-27,Sunday,0,2.6,Low
SEC-03,Delhi,2026-09-27,Sunday,23,2.2,Low
SEC-04,Delhi,2026-09-27,Sunday,22,5.6,Low
SEC-04,Delhi,2026-09-27,Sunday,23,2.8,Low
SEC-06,Moradabad,2026-09-27,Sunday,23,4.0,Low
SEC-07,Firozpur,2026-09-27,Sunday,0,2.6,Medium
SEC-08,Firozpur,2026-09-27,Sunday,23,5.8,Low
SEC-01,Ambala,2026-09-28,Monday,0,2.8,Medium
SEC-02,Ambala,2026-09-28,Monday,1,2.5,Low
SEC-03,Delhi,2026-09-28,Monday,0,2.2,Low
SEC-04,Delhi,2026-09-28,Monday,1,3.8,High
SEC-04,Delhi,2026-09-28,Monday,0,2.8,Low
SEC-05,Moradabad,2026-09-28,Monday,22,2.9,Medium
SEC-07,Firozpur,2026-09-28,Monday,0,3.0,Medium
SEC-08,Firozpur,2026-09-28,Monday,2,5.0,Medium
SEC-08,Firozpur,2026-09-28,Monday,0,2.6,Low
SEC-02,Ambala,2026-09-29,Tuesday,23,2.8,Medium
SEC-03,Delhi,2026-09-29,Tuesday,22,2.1,Low
SEC-04,Delhi,2026-09-29,Tuesday,0,4.0,Low
SEC-05,Moradabad,2026-09-29,Tuesday,0,1.8,Low
SEC-06,Moradabad,2026-09-29,Tuesday,23,6.0,Low
SEC-07,Firozpur,2026-09-29,Tuesday,22,1.9,Low
SEC-08,Firozpur,2026-09-29,Tuesday,2,2.5,Low
SEC-01,Ambala,2026-09-30,Wednesday,1,1.9,Low
SEC-02,Ambala,2026-09-30,Wednesday,23,2.3,Low
SEC-03,Delhi,2026-09-30,Wednesday,0,2.3,Low
SEC-04,Delhi,2026-09-30,Wednesday,21,4.3,Low
SEC-06,Moradabad,2026-09-30,Wednesday,2,5.7,Medium
SEC-06,Moradabad,2026-09-30,Wednesday,21,5.3,Low
SEC-07,Firozpur,2026-09-30,Wednesday,22,2.3,Medium
SEC-08,Firozpur,2026-09-30,Wednesday,21,5.1,Low
SEC-08,Firozpur,2026-09-30,Wednesday,2,3.9,Low
SEC-01,Ambala,2026-10-01,Thursday,1,2.7,Low
SEC-02,Ambala,2026-10-01,Thursday,22,3.3,Low
SEC-03,Delhi,2026-10-01,Thursday,0,1.6,Low
SEC-04,Delhi,2026-10-01,Thursday,21,2.5,Low
SEC-05,Moradabad,2026-10-01,Thursday,22,1.7,Low
SEC-06,Moradabad,2026-10-01,Thursday,23,4.8,Low
SEC-07,Firozpur,2026-10-01,Thursday,22,2.0,Low
SEC-08,Firozpur,2026-10-01,Thursday,21,3.4,Low
SEC-01,Ambala,2026-10-02,Friday,22,2.2,Low
SEC-02,Ambala,2026-10-02,Friday,0,2.1,Low
SEC-03,Delhi,2026-10-02,Friday,23,2.8,Low
SEC-04,Delhi,2026-10-02,Friday,23,4.0,Medium
SEC-05,Moradabad,2026-10-02,Friday,0,2.7,Low
SEC-06,Moradabad,2026-10-02,Friday,23,3.5,Low
SEC-06,Moradabad,2026-10-02,Friday,22,2.3,Low
SEC-07,Firozpur,2026-10-02,Friday,22,2.0,High
