asset_id,department,section_id,division,asset_type,defect_type,defect_severity,days_overdue,due_date,estimated_block_duration_hours,repeat_defect_count,sla_flag,asset_criticality_class,safety_risk_flag,priority_score,source_system
OHE-SEC-06-0038,Traction Distribution,SEC-06,Moradabad,Insulator,Dropper Defect,Critical,23,2026-08-06,3.5,0,True,Branch Line,True,80.3,TDMS
OHE-SEC-03-0146,Traction Distribution,SEC-03,Delhi,Dropper,Traction Substation Fault,Critical,23,2026-08-06,3.1,0,True,Branch Line,True,80.3,TDMS
OHE-SEC-01-0033,Traction Distribution,SEC-01,Ambala,OHE Wire,Tension Length Deviation,Critical,23,2026-08-06,3.7,0,True,Branch Line,True,80.3,TDMS
OHE-SEC-07-0105,Traction Distribution,SEC-07,Firozpur,OHE Wire,Feeder Fault,Critical,15,2026-08-14,4.1,0,True,Trunk Route,True,80.0,TDMS
TRK-SEC-06-0132,Engineering,SEC-06,Moradabad,Rail,Ballast Deficiency,Critical,14,2026-08-15,6.0,0,True,Trunk Route,True,79.3,TMS
OHE-SEC-04-0116,Traction Distribution,SEC-04,Delhi,Switching Post,Feeder Fault,Critical,11,2026-08-18,3.8,2,True,Branch Line,True,79.0,TDMS
SIG-SEC-02-0178,Signal & Telecom,SEC-02,Ambala,Axle Counter,Block Instrument Fault,Critical,16,2026-08-13,4.4,1,True,Branch Line,True,79.0,SMMS
SIG-SEC-05-0153,Signal & Telecom,SEC-05,Moradabad,Block Instrument,Block Instrument Fault,Critical,11,2026-08-18,3.1,2,True,Branch Line,True,79.0,SMMS
OHE-SEC-03-0056,Traction Distribution,SEC-03,Delhi,Switching Post,Insulator Damage,Critical,13,2026-08-16,3.9,0,True,Trunk Route,True,78.7,TDMS
OHE-SEC-03-0106,Traction Distribution,SEC-03,Delhi,OHE Wire,Tension Length Deviation,Critical,20,2026-08-09,4.4,0,True,Branch Line,True,78.3,TDMS
SIG-SEC-02-0123,Signal & Telecom,SEC-02,Ambala,Cable,Cable Insulation Fault,Critical,15,2026-08-14,3.0,1,True,Branch Line,True,78.3,SMMS
TRK-SEC-06-0143,Engineering,SEC-06,Moradabad,Track Geometry,Weld Defect,Critical,20,2026-08-09,7.4,0,True,Branch Line,True,78.3,TMS
TRK-SEC-01-0072,Engineering,SEC-01,Ambala,Formation,Ballast Deficiency,Critical,20,2026-08-09,4.9,0,True,Branch Line,True,78.3,TMS
OHE-SEC-04-0052,Traction Distribution,SEC-04,Delhi,Insulator,Feeder Fault,Critical,12,2026-08-17,4.1,0,True,Trunk Route,True,78.0,TDMS
TRK-SEC-04-0065,Engineering,SEC-04,Delhi,Ballast,Rail Wear,Critical,12,2026-08-17,7.1,0,True,Trunk Route,True,78.0,TMS
OHE-SEC-03-0097,Traction Distribution,SEC-03,Delhi,Switching Post,Insulator Damage,Critical,19,2026-08-10,5.0,0,True,Branch Line,True,77.7,TDMS
SIG-SEC-05-0164,Signal & Telecom,SEC-05,Moradabad,Signal,Level Crossing Gate Fault,Major,13,2026-08-16,3.8,3,True,Trunk Route,True,76.7,SMMS
SIG-SEC-06-0165,Signal & Telecom,SEC-06,Moradabad,Level Crossing Gate,Interlocking Fault,Critical,17,2026-08-12,5.8,0,True,Branch Line,True,76.3,SMMS
SIG-SEC-05-0118,Signal & Telecom,SEC-05,Moradabad,Cable,Signal Aspect Failure,Critical,4,2026-08-25,2.3,1,True,Trunk Route,True,76.0,SMMS
TRK-SEC-06-0114,Engineering,SEC-06,Moradabad,Track Geometry,Track Geometry - Twist,Critical,6,2026-08-23,4.9,2,True,Branch Line,True,75.7,TMS
OHE-SEC-04-0111,Traction Distribution,SEC-04,Delhi,Dropper,Earthing Fault,Critical,16,2026-08-13,4.8,0,True,Branch Line,True,75.7,TDMS
SIG-SEC-01-0044,Signal & Telecom,SEC-01,Ambala,Signal,Level Crossing Gate Fault,Critical,11,2026-08-18,4.6,1,True,Branch Line,True,75.7,SMMS
TRK-SEC-04-0019,Engineering,SEC-04,Delhi,Ballast,Weld Defect,Critical,8,2026-08-21,6.8,0,True,Trunk Route,True,75.3,TMS
SIG-SEC-05-0023,Signal & Telecom,SEC-05,Moradabad,Axle Counter,Relay Failure,Critical,15,2026-08-14,6.0,0,True,Branch Line,True,75.0,SMMS
SIG-SEC-02-0162,Signal & Telecom,SEC-02,Ambala,Interlocking,Signal Aspect Failure,Critical,14,2026-08-15,4.7,0,True,Branch Line,True,74.3,SMMS
SIG-SEC-06-0133,Signal & Telecom,SEC-06,Moradabad,Level Crossing Gate,Axle Counter Fault,Critical,4,2026-08-25,2.6,2,True,Branch Line,True,74.3,SMMS
TRK-SEC-08-0099,Engineering,SEC-08,Firozpur,Ballast,Rail Wear,Critical,14,2026-08-15,4.6,0,True,Branch Line,True,74.3,TMS
OHE-SEC-07-0054,Traction Distribution,SEC-07,Firozpur,Switching Post,Feeder Fault,Critical,6,2026-08-23,4.6,0,True,Trunk Route,True,74.0,TDMS
OHE-SEC-02-0023,Traction Distribution,SEC-02,Ambala,Dropper,Traction Substation Fault,Critical,6,2026-08-23,2.5,0,True,Trunk Route,True,74.0,TDMS
TRK-SEC-07-0130,Engineering,SEC-07,Firozpur,Rail,Rail Wear,Critical,13,2026-08-16,7.0,0,True,Branch Line,True,73.7,TMS
TRK-SEC-07-0163,Engineering,SEC-07,Firozpur,Formation,Rail Fracture,Critical,33,2026-07-27,7.6,1,True,Trunk Route,False,73.3,TMS
SIG-SEC-01-0143,Signal & Telecom,SEC-01,Ambala,Point Machine,Point Machine Failure,Critical,5,2026-08-24,2.1,0,True,Trunk Route,True,73.3,SMMS
OHE-SEC-01-0128,Traction Distribution,SEC-01,Ambala,OHE Wire,Feeder Fault,Critical,12,2026-08-17,2.8,0,True,Branch Line,True,73.0,TDMS
OHE-SEC-05-0050,Traction Distribution,SEC-05,Moradabad,Feeder,Dropper Defect,Critical,12,2026-08-17,4.4,0,True,Branch Line,True,73.0,TDMS
OHE-SEC-06-0130,Traction Distribution,SEC-06,Moradabad,OHE Wire,OHE Wire Wear,Critical,11,2026-08-18,4.5,0,True,Branch Line,True,72.3,TDMS
SIG-SEC-07-0068,Signal & Telecom,SEC-07,Firozpur,Interlocking,Interlocking Fault,Critical,11,2026-08-18,4.8,0,True,Branch Line,True,72.3,SMMS
SIG-SEC-03-0098,Signal & Telecom,SEC-03,Delhi,Point Machine,Point Machine Failure,Critical,11,2026-08-18,4.6,0,True,Branch Line,True,72.3,SMMS
OHE-SEC-06-0118,Traction Distribution,SEC-06,Moradabad,Feeder,Earthing Fault,Critical,5,2026-08-24,4.9,1,True,Branch Line,True,71.7,TDMS
OHE-SEC-03-0031,Traction Distribution,SEC-03,Delhi,Feeder,Dropper Defect,Critical,2,2026-08-27,4.0,0,True,Trunk Route,True,71.3,TDMS
SIG-SEC-01-0032,Signal & Telecom,SEC-01,Ambala,Point Machine,Signal Aspect Failure,Critical,3,2026-08-26,3.3,1,True,Branch Line,True,70.3,SMMS
OHE-SEC-02-0032,Traction Distribution,SEC-02,Ambala,OHE Wire,Earthing Fault,Critical,8,2026-08-21,2.8,0,True,Branch Line,True,70.3,TDMS
OHE-SEC-04-0150,Traction Distribution,SEC-04,Delhi,Dropper,OHE Wire Wear,Critical,7,2026-08-22,2.7,0,True,Branch Line,True,69.7,TDMS
TRK-SEC-06-0066,Engineering,SEC-06,Moradabad,Rail,Rail Wear,Critical,5,2026-08-24,6.6,0,True,Branch Line,True,68.3,TMS
OHE-SEC-01-0086,Traction Distribution,SEC-01,Ambala,Traction Substation,Feeder Fault,Critical,5,2026-08-24,3.4,0,True,Branch Line,True,68.3,TDMS
TRK-SEC-08-0082,Engineering,SEC-08,Firozpur,Weld,Gauge Widening,Major,17,2026-08-12,2.7,1,True,Branch Line,True,67.7,TMS
OHE-SEC-06-0114,Traction Distribution,SEC-06,Moradabad,OHE Wire,Traction Substation Fault,Critical,21,2026-08-08,2.9,1,True,Trunk Route,False,67.3,TDMS
OHE-SEC-08-0017,Traction Distribution,SEC-08,Firozpur,Feeder,Dropper Defect,Major,14,2026-08-15,1.6,3,False,Trunk Route,True,67.3,TDMS
SIG-SEC-05-0024,Signal & Telecom,SEC-05,Moradabad,Axle Counter,Relay Failure,Major,5,2026-08-24,1.3,3,True,Branch Line,True,66.3,SMMS
SIG-SEC-06-0105,Signal & Telecom,SEC-06,Moradabad,Signal,Signal Aspect Failure,Major,7,2026-08-22,3.0,1,True,Trunk Route,True,66.0,SMMS
OHE-SEC-05-0131,Traction Distribution,SEC-05,Moradabad,Earthing System,Earthing Fault,Major,11,2026-08-18,1.8,3,False,Trunk Route,True,65.3,TDMS
SIG-SEC-05-0151,Signal & Telecom,SEC-05,Moradabad,Point Machine,Block Instrument Fault,Major,-2,2026-08-31,2.8,2,True,Trunk Route,True,64.7,SMMS
OHE-SEC-07-0072,Traction Distribution,SEC-07,Firozpur,Dropper,Dropper Defect,Major,11,2026-08-18,3.3,1,True,Branch Line,True,63.7,TDMS
SIG-SEC-08-0114,Signal & Telecom,SEC-08,Firozpur,Signal,Signal Aspect Failure,Major,5,2026-08-24,1.8,2,True,Branch Line,True,63.0,SMMS
OHE-SEC-06-0084,Traction Distribution,SEC-06,Moradabad,Insulator,Insulator Damage,Major,12,2026-08-17,2.6,2,False,Trunk Route,True,62.7,TDMS
SIG-SEC-05-0016,Signal & Telecom,SEC-05,Moradabad,Point Machine,Point Machine Failure,Major,7,2026-08-22,2.3,0,True,Trunk Route,True,62.7,SMMS
SIG-SEC-02-0142,Signal & Telecom,SEC-02,Ambala,Point Machine,Axle Counter Fault,Critical,19,2026-08-10,2.2,0,True,Trunk Route,False,62.7,SMMS
TRK-SEC-08-0088,Engineering,SEC-08,Firozpur,Formation,Gauge Widening,Major,16,2026-08-13,3.0,1,False,Trunk Route,True,62.0,TMS
OHE-SEC-08-0126,Traction Distribution,SEC-08,Firozpur,Switching Post,OHE Wire Wear,Critical,18,2026-08-11,2.7,0,True,Trunk Route,False,62.0,TDMS
TRK-SEC-07-0036,Engineering,SEC-07,Firozpur,Weld,Weld Defect,Critical,7,2026-08-22,5.2,2,True,Trunk Route,False,61.3,TMS
OHE-SEC-01-0159,Traction Distribution,SEC-01,Ambala,Dropper,Feeder Fault,Major,15,2026-08-14,1.6,1,False,Trunk Route,True,61.3,TDMS
OHE-SEC-04-0043,Traction Distribution,SEC-04,Delhi,Traction Substation,OHE Wire Wear,Major,2,2026-08-27,1.6,2,True,Branch Line,True,61.0,TDMS
TRK-SEC-07-0119,Engineering,SEC-07,Firozpur,Track Geometry,Rail Fracture,Major,9,2026-08-20,4.9,2,False,Trunk Route,True,60.7,TMS
SIG-SEC-06-0006,Signal & Telecom,SEC-06,Moradabad,Signal,Cable Insulation Fault,Major,9,2026-08-20,3.0,2,False,Trunk Route,True,60.7,SMMS
OHE-SEC-01-0002,Traction Distribution,SEC-01,Ambala,Traction Substation,Dropper Defect,Critical,23,2026-08-06,4.3,0,True,Branch Line,False,60.3,TDMS
SIG-SEC-06-0176,Signal & Telecom,SEC-06,Moradabad,Axle Counter,Interlocking Fault,Critical,23,2026-08-06,5.4,0,True,Branch Line,False,60.3,SMMS
SIG-SEC-04-0073,Signal & Telecom,SEC-04,Delhi,Point Machine,Cable Insulation Fault,Critical,10,2026-08-19,3.0,1,True,Trunk Route,False,60.0,SMMS
TRK-SEC-08-0136,Engineering,SEC-08,Firozpur,Weld,Track Geometry - Unevenness,Major,18,2026-08-11,3.1,0,False,Trunk Route,True,60.0,TMS
SIG-SEC-02-0052,Signal & Telecom,SEC-02,Ambala,Block Instrument,Point Machine Failure,Major,3,2026-08-26,3.2,0,True,Trunk Route,True,60.0,SMMS
OHE-SEC-04-0134,Traction Distribution,SEC-04,Delhi,Insulator,Tension Length Deviation,Major,13,2026-08-16,2.6,1,False,Trunk Route,True,60.0,TDMS
SIG-SEC-08-0140,Signal & Telecom,SEC-08,Firozpur,Axle Counter,Axle Counter Fault,Major,12,2026-08-17,3.4,1,False,Trunk Route,True,59.3,SMMS
OHE-SEC-03-0048,Traction Distribution,SEC-03,Delhi,OHE Wire,Feeder Fault,Major,8,2026-08-21,2.8,3,False,Branch Line,True,58.3,TDMS
OHE-SEC-05-0147,Traction Distribution,SEC-05,Moradabad,Traction Substation,Traction Substation Fault,Major,-4,2026-09-02,2.6,3,False,Trunk Route,True,58.0,TDMS
SIG-SEC-01-0113,Signal & Telecom,SEC-01,Ambala,Axle Counter,Block Instrument Fault,Major,-1,2026-08-30,2.3,3,False,Trunk Route,True,58.0,SMMS
SIG-SEC-05-0047,Signal & Telecom,SEC-05,Moradabad,Cable,Relay Failure,Major,5,2026-08-24,2.2,2,False,Trunk Route,True,58.0,SMMS
SIG-SEC-03-0110,Signal & Telecom,SEC-03,Delhi,Cable,Interlocking Fault,Major,4,2026-08-25,3.2,2,False,Trunk Route,True,57.3,SMMS
OHE-SEC-03-0142,Traction Distribution,SEC-03,Delhi,Dropper,Dropper Defect,Major,6,2026-08-23,1.8,3,False,Branch Line,True,57.0,TDMS
TRK-SEC-04-0028,Engineering,SEC-04,Delhi,Formation,Ballast Deficiency,Major,13,2026-08-16,4.8,0,False,Trunk Route,True,56.7,TMS
SIG-SEC-06-0104,Signal & Telecom,SEC-06,Moradabad,Signal,Block Instrument Fault,Major,13,2026-08-16,1.9,0,False,Trunk Route,True,56.7,SMMS
TRK-SEC-08-0068,Engineering,SEC-08,Firozpur,Rail,Gauge Widening,Major,3,2026-08-26,4.2,2,False,Trunk Route,True,56.7,TMS
TRK-SEC-03-0092,Engineering,SEC-03,Delhi,Rail,Track Geometry - Unevenness,Major,8,2026-08-21,2.0,1,False,Trunk Route,True,56.7,TMS
OHE-SEC-01-0092,Traction Distribution,SEC-01,Ambala,Traction Substation,Insulator Damage,Major,15,2026-08-14,2.0,1,False,Branch Line,True,56.3,TDMS
TRK-SEC-08-0070,Engineering,SEC-08,Firozpur,Track Geometry,Track Geometry - Twist,Major,5,2026-08-24,4.4,3,False,Branch Line,True,56.3,TMS
TRK-SEC-04-0081,Engineering,SEC-04,Delhi,Formation,Formation/Subgrade Defect,Major,2,2026-08-27,2.2,2,False,Trunk Route,True,56.0,TMS
SIG-SEC-06-0013,Signal & Telecom,SEC-06,Moradabad,Signal,Axle Counter Fault,Major,12,2026-08-17,1.2,0,False,Trunk Route,True,56.0,SMMS
TRK-SEC-01-0139,Engineering,SEC-01,Ambala,Rail,Rail Fracture,Major,19,2026-08-10,4.8,0,False,Branch Line,True,55.7,TMS
SIG-SEC-07-0100,Signal & Telecom,SEC-07,Firozpur,Level Crossing Gate,Block Instrument Fault,Major,6,2026-08-23,4.0,1,False,Trunk Route,True,55.3,SMMS
OHE-SEC-03-0154,Traction Distribution,SEC-03,Delhi,Feeder,Earthing Fault,Major,8,2026-08-21,2.4,2,False,Branch Line,True,55.0,TDMS
TRK-SEC-02-0043,Engineering,SEC-02,Ambala,Track Geometry,Track Geometry - Twist,Major,3,2026-08-26,3.7,0,True,Branch Line,True,55.0,TMS
TRK-SEC-05-0182,Engineering,SEC-05,Moradabad,Rail,Gauge Widening,Major,18,2026-08-11,2.3,0,False,Branch Line,True,55.0,TMS
SIG-SEC-02-0060,Signal & Telecom,SEC-02,Ambala,Block Instrument,Signal Aspect Failure,Major,5,2026-08-24,1.1,1,False,Trunk Route,True,54.7,SMMS
OHE-SEC-07-0001,Traction Distribution,SEC-07,Firozpur,Insulator,OHE Wire Wear,Major,-2,2026-08-31,2.8,2,False,Trunk Route,True,54.7,TDMS
OHE-SEC-01-0124,Traction Distribution,SEC-01,Ambala,Switching Post,Earthing Fault,Major,10,2026-08-19,1.7,0,False,Trunk Route,True,54.7,TDMS
OHE-SEC-08-0135,Traction Distribution,SEC-08,Firozpur,Feeder,Tension Length Deviation,Major,9,2026-08-20,2.5,0,False,Trunk Route,True,54.0,TDMS
SIG-SEC-01-0001,Signal & Telecom,SEC-01,Ambala,Axle Counter,Signal Aspect Failure,Major,9,2026-08-20,3.3,0,False,Trunk Route,True,54.0,SMMS
SIG-SEC-06-0059,Signal & Telecom,SEC-06,Moradabad,Level Crossing Gate,Level Crossing Gate Fault,Major,4,2026-08-25,3.7,1,False,Trunk Route,True,54.0,SMMS
TRK-SEC-08-0218,Engineering,SEC-08,Firozpur,Rail,Track Geometry - Twist,Major,4,2026-08-25,2.6,1,False,Trunk Route,True,54.0,TMS
SIG-SEC-06-0179,Signal & Telecom,SEC-06,Moradabad,Level Crossing Gate,Block Instrument Fault,Major,11,2026-08-18,2.2,1,False,Branch Line,True,53.7,SMMS
TRK-SEC-02-0209,Engineering,SEC-02,Ambala,Track Geometry,Formation/Subgrade Defect,Major,8,2026-08-21,3.3,0,False,Trunk Route,True,53.3,TMS
TRK-SEC-08-0080,Engineering,SEC-08,Firozpur,Rail,Track Geometry - Twist,Major,8,2026-08-21,3.8,0,False,Trunk Route,True,53.3,TMS
OHE-SEC-07-0046,Traction Distribution,SEC-07,Firozpur,Traction Substation,Feeder Fault,Major,3,2026-08-26,1.1,1,False,Trunk Route,True,53.3,TDMS
OHE-SEC-02-0132,Traction Distribution,SEC-02,Ambala,Feeder,Dropper Defect,Major,-5,2026-09-03,1.4,0,True,Branch Line,True,53.0,TDMS
TRK-SEC-04-0083,Engineering,SEC-04,Delhi,Rail,Rail Fracture,Major,15,2026-08-14,3.6,0,False,Branch Line,True,53.0,TMS
SIG-SEC-04-0077,Signal & Telecom,SEC-04,Delhi,Point Machine,Level Crossing Gate Fault,Major,-4,2026-09-02,3.5,3,False,Branch Line,True,53.0,SMMS
SIG-SEC-05-0029,Signal & Telecom,SEC-05,Moradabad,Cable,Relay Failure,Major,-2,2026-08-31,4.0,0,True,Branch Line,True,53.0,SMMS
TRK-SEC-05-0029,Engineering,SEC-05,Moradabad,Ballast,Formation/Subgrade Defect,Major,2,2026-08-27,4.1,1,False,Trunk Route,True,52.7,TMS
SIG-SEC-01-0040,Signal & Telecom,SEC-01,Ambala,Cable,Point Machine Failure,Major,7,2026-08-22,2.1,0,False,Trunk Route,True,52.7,SMMS
OHE-SEC-05-0091,Traction Distribution,SEC-05,Moradabad,OHE Wire,Dropper Defect,Major,7,2026-08-22,3.2,0,False,Trunk Route,True,52.7,TDMS
OHE-SEC-07-0139,Traction Distribution,SEC-07,Firozpur,Feeder,Tension Length Deviation,Major,14,2026-08-15,3.4,0,False,Branch Line,True,52.3,TDMS
OHE-SEC-08-0026,Traction Distribution,SEC-08,Firozpur,Feeder,Earthing Fault,Major,9,2026-08-20,1.9,1,False,Branch Line,True,52.3,TDMS
OHE-SEC-08-0138,Traction Distribution,SEC-08,Firozpur,Traction Substation,Dropper Defect,Major,15,2026-08-14,2.9,1,True,Trunk Route,False,51.3,TDMS
TRK-SEC-08-0102,Engineering,SEC-08,Firozpur,Ballast,Rail Wear,Major,-5,2026-09-03,2.9,1,False,Trunk Route,True,51.3,TMS
TRK-SEC-03-0004,Engineering,SEC-03,Delhi,Ballast,Gauge Widening,Major,-2,2026-08-31,4.3,1,False,Trunk Route,True,51.3,TMS
SIG-SEC-05-0026,Signal & Telecom,SEC-05,Moradabad,Point Machine,Interlocking Fault,Major,0,2026-08-29,1.1,1,False,Trunk Route,True,51.3,SMMS
TRK-SEC-07-0045,Engineering,SEC-07,Firozpur,Formation,Track Geometry - Unevenness,Major,12,2026-08-17,4.1,0,False,Branch Line,True,51.0,TMS
TRK-SEC-04-0020,Engineering,SEC-04,Delhi,Formation,Rail Wear,Major,12,2026-08-17,3.5,0,False,Branch Line,True,51.0,TMS
SIG-SEC-03-0067,Signal & Telecom,SEC-03,Delhi,Block Instrument,Signal Aspect Failure,Major,12,2026-08-17,1.5,0,False,Branch Line,True,51.0,SMMS
OHE-SEC-08-0143,Traction Distribution,SEC-08,Firozpur,Dropper,Insulator Damage,Major,2,2026-08-27,2.2,2,False,Branch Line,True,51.0,TDMS
