asset_id,department,section_id,division,due_date,duration_hours,priority_score,unscheduled_reason
OHE-SEC-05-0123,Traction Distribution,SEC-05,Moradabad,2026-08-07,4.9,86.29,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-08-0172,Signal & Telecom,SEC-08,Firozpur,2026-08-06,5.3,85.27,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-08-0058,Engineering,SEC-08,Firozpur,2026-07-30,5.3,85.07,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-05-0167,Engineering,SEC-05,Moradabad,2026-07-26,5.0,85.0,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-02-0035,Traction Distribution,SEC-02,Ambala,2026-08-04,4.4,84.94,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-02-0152,Traction Distribution,SEC-02,Ambala,2026-08-12,4.6,84.89,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-08-0178,Engineering,SEC-08,Firozpur,2026-08-02,7.5,84.5,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-02-0135,Engineering,SEC-02,Ambala,2026-08-23,6.5,83.97,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-07-0008,Signal & Telecom,SEC-07,Firozpur,2026-08-08,5.9,83.4,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-03-0065,Traction Distribution,SEC-03,Delhi,2026-08-09,4.1,83.3,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-01-0029,Traction Distribution,SEC-01,Ambala,2026-08-07,3.9,83.14,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-08-0051,Engineering,SEC-08,Firozpur,2026-08-17,5.0,82.94,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-02-0001,Engineering,SEC-02,Ambala,2026-08-10,5.1,82.9,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-08-0095,Traction Distribution,SEC-08,Firozpur,2026-08-10,4.9,82.55,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-06-0071,Traction Distribution,SEC-06,Moradabad,2026-08-15,3.3,81.33,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-01-0033,Traction Distribution,SEC-01,Ambala,2026-08-06,3.7,80.36,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-03-0146,Traction Distribution,SEC-03,Delhi,2026-08-06,3.1,80.35,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-06-0038,Traction Distribution,SEC-06,Moradabad,2026-08-06,3.5,80.22,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-07-0105,Traction Distribution,SEC-07,Firozpur,2026-08-14,4.1,79.8,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-06-0132,Engineering,SEC-06,Moradabad,2026-08-15,6.0,79.7,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-02-0178,Signal & Telecom,SEC-02,Ambala,2026-08-13,4.4,78.95,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-05-0153,Signal & Telecom,SEC-05,Moradabad,2026-08-18,3.1,78.84,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-03-0056,Traction Distribution,SEC-03,Delhi,2026-08-16,3.9,78.68,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-03-0106,Traction Distribution,SEC-03,Delhi,2026-08-09,4.4,78.45,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-01-0072,Engineering,SEC-01,Ambala,2026-08-09,4.9,78.35,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-06-0143,Engineering,SEC-06,Moradabad,2026-08-09,7.4,78.31,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-06-0165,Signal & Telecom,SEC-06,Moradabad,2026-08-12,5.8,78.06,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-04-0065,Engineering,SEC-04,Delhi,2026-08-17,7.1,77.99,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-03-0097,Traction Distribution,SEC-03,Delhi,2026-08-10,5.0,77.89,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-05-0164,Signal & Telecom,SEC-05,Moradabad,2026-08-16,3.8,76.6,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-05-0118,Signal & Telecom,SEC-05,Moradabad,2026-08-25,2.3,75.96,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-06-0114,Engineering,SEC-06,Moradabad,2026-08-23,4.9,75.94,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-01-0044,Signal & Telecom,SEC-01,Ambala,2026-08-18,4.6,75.8,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-06-0133,Signal & Telecom,SEC-06,Moradabad,2026-08-25,2.6,75.56,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-04-0019,Engineering,SEC-04,Delhi,2026-08-21,6.8,75.24,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-05-0023,Signal & Telecom,SEC-05,Moradabad,2026-08-14,6.0,74.93,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-02-0162,Signal & Telecom,SEC-02,Ambala,2026-08-15,4.7,74.47,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-08-0099,Engineering,SEC-08,Firozpur,2026-08-15,4.6,74.42,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-07-0054,Traction Distribution,SEC-07,Firozpur,2026-08-23,4.6,74.04,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-02-0023,Traction Distribution,SEC-02,Ambala,2026-08-23,2.5,74.03,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-07-0130,Engineering,SEC-07,Firozpur,2026-08-16,7.0,73.74,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-01-0128,Traction Distribution,SEC-01,Ambala,2026-08-17,2.8,73.35,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-07-0163,Engineering,SEC-07,Firozpur,2026-07-27,7.6,73.31,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-05-0050,Traction Distribution,SEC-05,Moradabad,2026-08-17,4.4,73.27,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-07-0068,Signal & Telecom,SEC-07,Firozpur,2026-08-18,4.8,72.36,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-03-0098,Signal & Telecom,SEC-03,Delhi,2026-08-18,4.6,72.23,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-06-0118,Traction Distribution,SEC-06,Moradabad,2026-08-24,4.9,72.02,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-06-0130,Traction Distribution,SEC-06,Moradabad,2026-08-18,4.5,71.91,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-03-0031,Traction Distribution,SEC-03,Delhi,2026-08-27,4.0,71.42,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-02-0032,Traction Distribution,SEC-02,Ambala,2026-08-21,2.8,70.16,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-01-0032,Signal & Telecom,SEC-01,Ambala,2026-08-26,3.3,70.05,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-01-0086,Traction Distribution,SEC-01,Ambala,2026-08-24,3.4,68.58,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-06-0066,Engineering,SEC-06,Moradabad,2026-08-24,6.6,68.34,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-08-0017,Traction Distribution,SEC-08,Firozpur,2026-08-15,1.6,67.32,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-06-0114,Traction Distribution,SEC-06,Moradabad,2026-08-08,2.9,67.24,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-05-0024,Signal & Telecom,SEC-05,Moradabad,2026-08-24,1.3,66.35,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-06-0105,Signal & Telecom,SEC-06,Moradabad,2026-08-22,3.0,66.08,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-05-0151,Signal & Telecom,SEC-05,Moradabad,2026-08-31,2.8,64.43,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-08-0082,Engineering,SEC-08,Firozpur,2026-08-12,2.7,64.01,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-07-0072,Traction Distribution,SEC-07,Firozpur,2026-08-18,3.3,63.37,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-06-0084,Traction Distribution,SEC-06,Moradabad,2026-08-17,2.6,62.82,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-05-0016,Signal & Telecom,SEC-05,Moradabad,2026-08-22,2.3,62.49,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-08-0126,Traction Distribution,SEC-08,Firozpur,2026-08-11,2.7,62.1,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-08-0088,Engineering,SEC-08,Firozpur,2026-08-13,3.0,61.91,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-07-0036,Engineering,SEC-07,Firozpur,2026-08-22,5.2,61.39,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-01-0159,Traction Distribution,SEC-01,Ambala,2026-08-14,1.6,61.35,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-06-0176,Signal & Telecom,SEC-06,Moradabad,2026-08-06,5.4,61.25,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-06-0006,Signal & Telecom,SEC-06,Moradabad,2026-08-20,3.0,60.34,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-01-0002,Traction Distribution,SEC-01,Ambala,2026-08-06,4.3,60.26,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-08-0136,Engineering,SEC-08,Firozpur,2026-08-11,3.1,59.99,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-02-0052,Signal & Telecom,SEC-02,Ambala,2026-08-26,3.2,59.81,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-07-0119,Engineering,SEC-07,Firozpur,2026-08-20,4.9,59.76,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-08-0140,Signal & Telecom,SEC-08,Firozpur,2026-08-17,3.4,59.26,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-03-0048,Traction Distribution,SEC-03,Delhi,2026-08-21,2.8,58.27,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-03-0110,Signal & Telecom,SEC-03,Delhi,2026-08-25,3.2,57.57,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-08-0068,Engineering,SEC-08,Firozpur,2026-08-26,4.2,56.96,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-03-0092,Engineering,SEC-03,Delhi,2026-08-21,2.0,56.81,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-06-0104,Signal & Telecom,SEC-06,Moradabad,2026-08-16,1.9,56.76,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-08-0070,Engineering,SEC-08,Firozpur,2026-08-24,4.4,56.3,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-03-0142,Traction Distribution,SEC-03,Delhi,2026-08-23,1.8,56.26,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-01-0092,Traction Distribution,SEC-01,Ambala,2026-08-14,2.0,56.21,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-01-0113,Signal & Telecom,SEC-01,Ambala,2026-08-30,2.3,55.54,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-05-0147,Traction Distribution,SEC-05,Moradabad,2026-09-02,2.6,55.54,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-01-0139,Engineering,SEC-01,Ambala,2026-08-10,4.8,55.49,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-02-0043,Engineering,SEC-02,Ambala,2026-08-26,3.7,55.27,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-03-0154,Traction Distribution,SEC-03,Delhi,2026-08-21,2.4,54.96,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-05-0182,Engineering,SEC-05,Moradabad,2026-08-11,2.3,54.96,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-07-0100,Signal & Telecom,SEC-07,Firozpur,2026-08-23,4.0,54.94,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-06-0059,Signal & Telecom,SEC-06,Moradabad,2026-08-25,3.7,54.2,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-01-0001,Signal & Telecom,SEC-01,Ambala,2026-08-20,3.3,54.01,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-08-0218,Engineering,SEC-08,Firozpur,2026-08-25,2.6,54.0,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-08-0080,Engineering,SEC-08,Firozpur,2026-08-21,3.8,53.63,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-02-0209,Engineering,SEC-02,Ambala,2026-08-21,3.3,53.56,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-05-0029,Signal & Telecom,SEC-05,Moradabad,2026-08-31,4.0,52.9,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-05-0029,Engineering,SEC-05,Moradabad,2026-08-27,4.1,52.8,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-05-0091,Traction Distribution,SEC-05,Moradabad,2026-08-22,3.2,52.43,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-08-0026,Traction Distribution,SEC-08,Firozpur,2026-08-20,1.9,52.43,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-07-0139,Traction Distribution,SEC-07,Firozpur,2026-08-15,3.4,52.23,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-08-0143,Traction Distribution,SEC-08,Firozpur,2026-08-27,2.2,51.27,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-03-0004,Engineering,SEC-03,Delhi,2026-08-31,4.3,51.14,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-07-0045,Engineering,SEC-07,Firozpur,2026-08-17,4.1,51.01,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-03-0067,Signal & Telecom,SEC-03,Delhi,2026-08-17,1.5,50.81,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-08-0102,Engineering,SEC-08,Firozpur,2026-09-03,2.9,50.69,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-03-0087,Engineering,SEC-03,Delhi,2026-08-26,4.0,49.69,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-05-0046,Engineering,SEC-05,Moradabad,2026-08-25,4.5,49.17,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-01-0086,Engineering,SEC-01,Ambala,2026-08-23,7.8,48.93,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-03-0195,Engineering,SEC-03,Delhi,2026-08-28,3.5,48.71,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-01-0022,Engineering,SEC-01,Ambala,2026-08-31,3.0,48.19,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-05-0053,Signal & Telecom,SEC-05,Moradabad,2026-08-18,2.7,47.99,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-08-0005,Traction Distribution,SEC-08,Firozpur,2026-08-30,1.5,47.79,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-06-0138,Engineering,SEC-06,Moradabad,2026-08-13,2.8,46.86,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-08-0118,Engineering,SEC-08,Firozpur,2026-08-23,2.7,46.83,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-01-0036,Traction Distribution,SEC-01,Ambala,2026-08-16,3.3,46.56,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-05-0060,Engineering,SEC-05,Moradabad,2026-08-24,2.6,46.53,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-05-0033,Engineering,SEC-05,Moradabad,2026-08-24,2.6,46.53,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-01-0109,Engineering,SEC-01,Ambala,2026-08-16,3.3,46.49,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-02-0005,Signal & Telecom,SEC-02,Ambala,2026-08-16,1.3,46.49,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-05-0197,Engineering,SEC-05,Moradabad,2026-09-02,2.4,46.24,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-06-0034,Traction Distribution,SEC-06,Moradabad,2026-08-17,3.2,46.22,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-02-0163,Signal & Telecom,SEC-02,Ambala,2026-08-25,2.3,45.79,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-02-0097,Signal & Telecom,SEC-02,Ambala,2026-09-01,2.4,44.84,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-07-0003,Engineering,SEC-07,Firozpur,2026-08-09,3.8,43.92,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-01-0120,Traction Distribution,SEC-01,Ambala,2026-08-28,3.0,43.8,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-01-0156,Engineering,SEC-01,Ambala,2026-08-28,2.5,43.74,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-06-0022,Traction Distribution,SEC-06,Moradabad,2026-08-14,3.3,43.19,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-03-0087,Traction Distribution,SEC-03,Delhi,2026-09-07,1.4,42.68,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-05-0153,Engineering,SEC-05,Moradabad,2026-08-15,4.6,42.1,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-08-0069,Engineering,SEC-08,Firozpur,2026-08-15,3.4,42.02,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-06-0079,Traction Distribution,SEC-06,Moradabad,2026-08-23,2.0,41.85,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-05-0011,Traction Distribution,SEC-05,Moradabad,2026-09-11,0.6,40.68,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-01-0151,Engineering,SEC-01,Ambala,2026-08-20,3.3,40.59,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-01-0123,Engineering,SEC-01,Ambala,2026-08-11,2.2,39.85,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-08-0213,Engineering,SEC-08,Firozpur,2026-08-09,4.8,39.71,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-03-0094,Engineering,SEC-03,Delhi,2026-08-18,4.8,38.77,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-02-0157,Engineering,SEC-02,Ambala,2026-08-18,4.4,38.73,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-07-0217,Engineering,SEC-07,Firozpur,2026-08-13,3.4,38.71,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-03-0103,Engineering,SEC-03,Delhi,2026-08-13,3.2,38.66,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-02-0078,Engineering,SEC-02,Ambala,2026-08-14,2.2,38.57,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-03-0050,Signal & Telecom,SEC-03,Delhi,2026-08-21,2.5,38.53,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-03-0023,Engineering,SEC-03,Delhi,2026-09-01,2.7,38.39,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-06-0145,Engineering,SEC-06,Moradabad,2026-08-14,4.9,38.28,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-02-0055,Traction Distribution,SEC-02,Ambala,2026-08-30,3.4,38.09,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-05-0040,Engineering,SEC-05,Moradabad,2026-09-06,2.7,38.04,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-06-0044,Engineering,SEC-06,Moradabad,2026-08-24,4.8,37.75,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-01-0039,Traction Distribution,SEC-01,Ambala,2026-09-09,1.2,37.53,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-08-0119,Signal & Telecom,SEC-08,Firozpur,2026-09-01,1.8,37.5,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-05-0064,Signal & Telecom,SEC-05,Moradabad,2026-08-15,3.7,37.31,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-06-0134,Signal & Telecom,SEC-06,Moradabad,2026-08-16,1.3,37.04,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-01-0064,Traction Distribution,SEC-01,Ambala,2026-08-14,2.6,36.68,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-02-0155,Traction Distribution,SEC-02,Ambala,2026-08-31,1.7,35.83,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-01-0134,Engineering,SEC-01,Ambala,2026-08-25,4.1,35.66,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-08-0047,Engineering,SEC-08,Firozpur,2026-08-18,4.0,35.44,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-06-0098,Traction Distribution,SEC-06,Moradabad,2026-08-23,2.5,35.4,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-06-0011,Engineering,SEC-06,Moradabad,2026-08-18,5.0,35.34,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-02-0071,Engineering,SEC-02,Ambala,2026-08-17,3.2,35.25,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-03-0128,Signal & Telecom,SEC-03,Delhi,2026-08-16,1.7,34.95,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-08-0112,Signal & Telecom,SEC-08,Firozpur,2026-08-21,0.9,34.23,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-03-0090,Traction Distribution,SEC-03,Delhi,2026-08-20,1.5,34.18,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-01-0148,Engineering,SEC-01,Ambala,2026-08-20,2.2,34.16,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-06-0003,Traction Distribution,SEC-06,Moradabad,2026-08-25,1.8,34.13,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-07-0157,Signal & Telecom,SEC-07,Firozpur,2026-08-19,3.5,34.01,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-05-0041,Engineering,SEC-05,Moradabad,2026-08-13,3.5,34.01,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-08-0082,Signal & Telecom,SEC-08,Firozpur,2026-08-19,1.6,33.96,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-06-0033,Signal & Telecom,SEC-06,Moradabad,2026-08-21,3.6,33.76,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-05-0051,Signal & Telecom,SEC-05,Moradabad,2026-08-26,1.6,32.97,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-03-0155,Engineering,SEC-03,Delhi,2026-08-21,2.7,32.78,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-06-0121,Traction Distribution,SEC-06,Moradabad,2026-08-15,3.1,32.3,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
OHE-SEC-08-0053,Traction Distribution,SEC-08,Firozpur,2026-08-16,2.0,31.98,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
