block_id,section_id,division,window_date,coa_window_start,coa_window_end,block_start_time,block_end_time,task_start_time,task_end_time,asset_id,department,duration_hours,priority_score,due_date,lateness_days,traffic_load,block_utilization,bundled_departments,bundled_department_count,source_system
COA-SEC-01-20260901-0000-0023,SEC-01,Ambala,2026-09-01,2026-09-01 00:00:00,2026-09-01 01:36:00,2026-09-01 00:00:00,2026-09-01 01:18:00,2026-09-01 00:00:00,2026-09-01 01:18:00,SIG-SEC-01-0106,Signal & Telecom,1.3,15.82,2026-09-08,0,Low,0.8125,Signal & Telecom,1,SMMS
COA-SEC-02-20260901-2300-0024,SEC-02,Ambala,2026-09-01,2026-09-01 23:00:00,2026-09-02 01:00:00,2026-09-01 23:00:00,2026-09-02 00:12:00,2026-09-01 23:00:00,2026-09-02 00:12:00,SIG-SEC-02-0011,Signal & Telecom,1.2,18.41,2026-08-20,13,Low,0.6,Signal & Telecom,1,SMMS
COA-SEC-03-20260901-0100-0025,SEC-03,Delhi,2026-09-01,2026-09-01 01:00:00,2026-09-01 04:06:00,2026-09-01 01:00:00,2026-09-01 03:06:00,2026-09-01 01:00:00,2026-09-01 03:06:00,SIG-SEC-03-0072,Signal & Telecom,2.1,49.29,2026-08-28,4,High,0.6774,Signal & Telecom,1,SMMS
COA-SEC-04-20260901-0000-0026,SEC-04,Delhi,2026-09-01,2026-09-01 00:00:00,2026-09-01 04:42:00,2026-09-01 00:00:00,2026-09-01 04:42:00,2026-09-01 00:00:00,2026-09-01 03:36:00,SIG-SEC-04-0144,Signal & Telecom,3.6,47.66,2026-08-22,10,Low,1.0,Engineering|Signal & Telecom,2,SMMS
COA-SEC-04-20260901-0000-0026,SEC-04,Delhi,2026-09-01,2026-09-01 00:00:00,2026-09-01 04:42:00,2026-09-01 00:00:00,2026-09-01 04:42:00,2026-09-01 03:36:00,2026-09-01 04:42:00,TRK-SEC-04-0006,Engineering,1.1,17.47,2026-09-06,0,Low,1.0,Engineering|Signal & Telecom,2,TMS
COA-SEC-07-20260901-2200-0030,SEC-07,Firozpur,2026-09-01,2026-09-01 22:00:00,2026-09-02 01:24:00,2026-09-01 22:00:00,2026-09-02 01:24:00,2026-09-01 22:00:00,2026-09-01 23:12:00,OHE-SEC-07-0104,Traction Distribution,1.2,42.81,2026-08-31,2,Medium,1.0,Engineering|Traction Distribution,2,TDMS
COA-SEC-07-20260901-2200-0030,SEC-07,Firozpur,2026-09-01,2026-09-01 22:00:00,2026-09-02 01:24:00,2026-09-01 22:00:00,2026-09-02 01:24:00,2026-09-01 23:12:00,2026-09-02 01:24:00,TRK-SEC-07-0056,Engineering,2.2,43.36,2026-08-22,11,Medium,1.0,Engineering|Traction Distribution,2,TMS
COA-SEC-08-20260901-0000-0031,SEC-08,Firozpur,2026-09-01,2026-09-01 00:00:00,2026-09-01 04:54:00,2026-09-01 00:00:00,2026-09-01 04:36:00,2026-09-01 00:00:00,2026-09-01 02:54:00,OHE-SEC-08-0138,Traction Distribution,2.9,51.25,2026-08-14,18,Low,0.9388,Traction Distribution,1,TDMS
COA-SEC-08-20260901-0000-0031,SEC-08,Firozpur,2026-09-01,2026-09-01 00:00:00,2026-09-01 04:54:00,2026-09-01 00:00:00,2026-09-01 04:36:00,2026-09-01 02:54:00,2026-09-01 04:36:00,OHE-SEC-08-0073,Traction Distribution,1.7,17.6,2026-08-31,1,Low,0.9388,Traction Distribution,1,TDMS
COA-SEC-02-20260902-0000-0033,SEC-02,Ambala,2026-09-02,2026-09-02 00:00:00,2026-09-02 01:42:00,2026-09-02 00:12:00,2026-09-02 01:30:00,2026-09-02 00:12:00,2026-09-02 00:54:00,SIG-SEC-02-0079,Signal & Telecom,0.7,24.16,2026-08-30,3,High,0.7647,Signal & Telecom,1,SMMS
COA-SEC-02-20260902-0000-0033,SEC-02,Ambala,2026-09-02,2026-09-02 00:00:00,2026-09-02 01:42:00,2026-09-02 00:12:00,2026-09-02 01:30:00,2026-09-02 00:54:00,2026-09-02 01:30:00,SIG-SEC-02-0041,Signal & Telecom,0.6,27.51,2026-09-11,0,High,0.7647,Signal & Telecom,1,SMMS
COA-SEC-04-20260902-2300-0036,SEC-04,Delhi,2026-09-02,2026-09-02 23:00:00,2026-09-03 02:36:00,2026-09-02 23:00:00,2026-09-03 02:12:00,2026-09-02 23:00:00,2026-09-03 02:12:00,SIG-SEC-04-0065,Signal & Telecom,3.2,83.37,2026-08-14,20,Low,0.8889,Signal & Telecom,1,SMMS
COA-SEC-02-20260903-0100-0038,SEC-02,Ambala,2026-09-03,2026-09-03 01:00:00,2026-09-03 03:42:00,2026-09-03 01:00:00,2026-09-03 03:42:00,2026-09-03 01:00:00,2026-09-03 02:06:00,SIG-SEC-02-0060,Signal & Telecom,1.1,54.48,2026-08-24,10,Medium,1.0,Engineering|Signal & Telecom,2,SMMS
COA-SEC-02-20260903-0100-0038,SEC-02,Ambala,2026-09-03,2026-09-03 01:00:00,2026-09-03 03:42:00,2026-09-03 01:00:00,2026-09-03 03:42:00,2026-09-03 02:06:00,2026-09-03 03:42:00,TRK-SEC-02-0126,Engineering,1.6,12.37,2026-09-09,0,Medium,1.0,Engineering|Signal & Telecom,2,TMS
COA-SEC-05-20260903-2300-0041,SEC-05,Moradabad,2026-09-03,2026-09-03 23:00:00,2026-09-04 02:18:00,2026-09-03 23:00:00,2026-09-04 02:18:00,2026-09-03 23:00:00,2026-09-04 01:12:00,SIG-SEC-05-0047,Signal & Telecom,2.2,58.05,2026-08-24,11,Medium,1.0,Signal & Telecom,1,SMMS
COA-SEC-05-20260903-2300-0041,SEC-05,Moradabad,2026-09-03,2026-09-03 23:00:00,2026-09-04 02:18:00,2026-09-03 23:00:00,2026-09-04 02:18:00,2026-09-04 01:12:00,2026-09-04 02:18:00,SIG-SEC-05-0026,Signal & Telecom,1.1,50.68,2026-08-29,6,Medium,1.0,Signal & Telecom,1,SMMS
COA-SEC-06-20260903-0000-0042,SEC-06,Moradabad,2026-09-03,2026-09-03 00:00:00,2026-09-03 05:12:00,2026-09-03 00:00:00,2026-09-03 05:12:00,2026-09-03 00:00:00,2026-09-03 01:12:00,SIG-SEC-06-0091,Signal & Telecom,1.2,43.02,2026-08-15,19,Medium,1.0,Signal & Telecom,1,SMMS
COA-SEC-06-20260903-0000-0042,SEC-06,Moradabad,2026-09-03,2026-09-03 00:00:00,2026-09-03 05:12:00,2026-09-03 00:00:00,2026-09-03 05:12:00,2026-09-03 01:12:00,2026-09-03 01:48:00,SIG-SEC-06-0170,Signal & Telecom,0.6,27.52,2026-09-13,0,Medium,1.0,Signal & Telecom,1,SMMS
COA-SEC-06-20260903-0000-0042,SEC-06,Moradabad,2026-09-03,2026-09-03 00:00:00,2026-09-03 05:12:00,2026-09-03 00:00:00,2026-09-03 05:12:00,2026-09-03 01:48:00,2026-09-03 05:12:00,SIG-SEC-06-0025,Signal & Telecom,3.4,28.5,2026-08-27,7,Medium,1.0,Signal & Telecom,1,SMMS
COA-SEC-01-20260904-2300-0044,SEC-01,Ambala,2026-09-04,2026-09-04 23:00:00,2026-09-05 02:24:00,2026-09-04 23:00:00,2026-09-05 02:24:00,2026-09-04 23:00:00,2026-09-04 23:48:00,SIG-SEC-01-0045,Signal & Telecom,0.8,15.81,2026-09-10,0,Low,1.0,Signal & Telecom,1,SMMS
COA-SEC-01-20260904-2300-0044,SEC-01,Ambala,2026-09-04,2026-09-04 23:00:00,2026-09-05 02:24:00,2026-09-04 23:00:00,2026-09-05 02:24:00,2026-09-04 23:48:00,2026-09-05 02:24:00,SIG-SEC-01-0093,Signal & Telecom,2.6,88.69,2026-08-16,20,Low,1.0,Signal & Telecom,1,SMMS
COA-SEC-02-20260904-2300-0045,SEC-02,Ambala,2026-09-04,2026-09-04 23:00:00,2026-09-05 01:12:00,2026-09-04 23:00:00,2026-09-05 00:54:00,2026-09-04 23:00:00,2026-09-05 00:54:00,TRK-SEC-02-0115,Engineering,1.9,19.96,2026-08-22,14,High,0.8636,Engineering,1,TMS
COA-SEC-04-20260904-0100-0047,SEC-04,Delhi,2026-09-04,2026-09-04 01:00:00,2026-09-04 05:48:00,2026-09-04 01:00:00,2026-09-04 05:42:00,2026-09-04 01:00:00,2026-09-04 04:42:00,TRK-SEC-04-0104,Engineering,3.7,24.13,2026-08-27,8,Low,0.9792,Engineering|Traction Distribution,2,TMS
COA-SEC-04-20260904-0100-0047,SEC-04,Delhi,2026-09-04,2026-09-04 01:00:00,2026-09-04 05:48:00,2026-09-04 01:00:00,2026-09-04 05:42:00,2026-09-04 04:42:00,2026-09-04 05:42:00,OHE-SEC-04-0156,Traction Distribution,1.0,14.69,2026-08-26,9,Low,0.9792,Engineering|Traction Distribution,2,TDMS
COA-SEC-05-20260904-2200-0048,SEC-05,Moradabad,2026-09-04,2026-09-04 22:00:00,2026-09-05 00:42:00,2026-09-04 22:00:00,2026-09-05 00:30:00,2026-09-04 22:00:00,2026-09-04 23:12:00,SIG-SEC-05-0074,Signal & Telecom,1.2,46.39,2026-08-28,8,Low,0.9259,Signal & Telecom,1,SMMS
COA-SEC-05-20260904-2200-0048,SEC-05,Moradabad,2026-09-04,2026-09-04 22:00:00,2026-09-05 00:42:00,2026-09-04 22:00:00,2026-09-05 00:30:00,2026-09-04 23:12:00,2026-09-05 00:30:00,SIG-SEC-05-0115,Signal & Telecom,1.3,28.02,2026-08-31,5,Low,0.9259,Signal & Telecom,1,SMMS
COA-SEC-07-20260904-2300-0049,SEC-07,Firozpur,2026-09-04,2026-09-04 23:00:00,2026-09-05 01:30:00,2026-09-04 23:00:00,2026-09-05 01:18:00,2026-09-04 23:00:00,2026-09-05 01:18:00,SIG-SEC-07-0017,Signal & Telecom,2.3,48.48,2026-09-03,2,Low,0.92,Signal & Telecom,1,SMMS
COA-SEC-01-20260905-2200-0051,SEC-01,Ambala,2026-09-05,2026-09-05 22:00:00,2026-09-05 23:36:00,2026-09-05 22:00:00,2026-09-05 23:36:00,2026-09-05 22:00:00,2026-09-05 23:36:00,OHE-SEC-01-0153,Traction Distribution,1.6,32.79,2026-08-20,16,High,1.0,Traction Distribution,1,TDMS
COA-SEC-02-20260905-0100-0052,SEC-02,Ambala,2026-09-05,2026-09-05 01:00:00,2026-09-05 03:12:00,2026-09-05 01:00:00,2026-09-05 02:24:00,2026-09-05 01:00:00,2026-09-05 02:24:00,OHE-SEC-02-0132,Traction Distribution,1.4,51.12,2026-09-03,2,Medium,0.6364,Traction Distribution,1,TDMS
COA-SEC-04-20260905-2300-0054,SEC-04,Delhi,2026-09-05,2026-09-05 23:00:00,2026-09-06 05:00:00,2026-09-05 23:00:00,2026-09-06 04:30:00,2026-09-05 23:00:00,2026-09-06 00:24:00,OHE-SEC-04-0113,Traction Distribution,1.4,43.09,2026-08-29,8,Medium,0.9167,Traction Distribution,1,TDMS
COA-SEC-04-20260905-2300-0054,SEC-04,Delhi,2026-09-05,2026-09-05 23:00:00,2026-09-06 05:00:00,2026-09-05 23:00:00,2026-09-06 04:30:00,2026-09-06 00:24:00,2026-09-06 04:30:00,OHE-SEC-04-0052,Traction Distribution,4.1,76.65,2026-08-17,20,Medium,0.9167,Traction Distribution,1,TDMS
COA-SEC-01-20260906-0000-0061,SEC-01,Ambala,2026-09-06,2026-09-06 00:00:00,2026-09-06 03:24:00,2026-09-06 00:00:00,2026-09-06 03:24:00,2026-09-06 00:00:00,2026-09-06 01:54:00,SIG-SEC-01-0125,Signal & Telecom,1.9,13.76,2026-08-27,10,Low,1.0,Signal & Telecom,1,SMMS
COA-SEC-01-20260906-0000-0061,SEC-01,Ambala,2026-09-06,2026-09-06 00:00:00,2026-09-06 03:24:00,2026-09-06 00:00:00,2026-09-06 03:24:00,2026-09-06 01:54:00,2026-09-06 03:24:00,SIG-SEC-01-0075,Signal & Telecom,1.5,20.03,2026-08-22,15,Low,1.0,Signal & Telecom,1,SMMS
COA-SEC-02-20260906-2300-0062,SEC-02,Ambala,2026-09-06,2026-09-06 23:00:00,2026-09-07 01:00:00,2026-09-06 23:00:00,2026-09-07 00:48:00,2026-09-06 23:00:00,2026-09-07 00:48:00,TRK-SEC-02-0179,Engineering,1.8,28.1,2026-08-28,10,Low,0.9,Engineering,1,TMS
COA-SEC-04-20260906-2100-0064,SEC-04,Delhi,2026-09-06,2026-09-06 21:00:00,2026-09-07 00:48:00,2026-09-06 21:00:00,2026-09-07 00:24:00,2026-09-06 21:00:00,2026-09-06 22:42:00,OHE-SEC-04-0108,Traction Distribution,1.7,21.37,2026-08-23,15,Low,0.8947,Traction Distribution,1,TDMS
COA-SEC-04-20260906-2100-0064,SEC-04,Delhi,2026-09-06,2026-09-06 21:00:00,2026-09-07 00:48:00,2026-09-06 21:00:00,2026-09-07 00:24:00,2026-09-06 22:42:00,2026-09-07 00:24:00,OHE-SEC-04-0141,Traction Distribution,1.7,21.3,2026-08-24,14,Low,0.8947,Traction Distribution,1,TDMS
COA-SEC-07-20260906-2200-0067,SEC-07,Firozpur,2026-09-06,2026-09-06 22:00:00,2026-09-07 01:06:00,2026-09-06 22:00:00,2026-09-07 00:12:00,2026-09-06 22:00:00,2026-09-06 23:06:00,OHE-SEC-07-0067,Traction Distribution,1.1,22.79,2026-08-21,17,Low,0.7097,Traction Distribution,1,TDMS
COA-SEC-07-20260906-2200-0067,SEC-07,Firozpur,2026-09-06,2026-09-06 22:00:00,2026-09-07 01:06:00,2026-09-06 22:00:00,2026-09-07 00:12:00,2026-09-06 23:06:00,2026-09-07 00:12:00,OHE-SEC-07-0151,Traction Distribution,1.1,27.4,2026-09-08,0,Low,0.7097,Traction Distribution,1,TDMS
COA-SEC-01-20260907-2200-0069,SEC-01,Ambala,2026-09-07,2026-09-07 22:00:00,2026-09-08 00:24:00,2026-09-07 22:00:00,2026-09-07 23:06:00,2026-09-07 22:00:00,2026-09-07 23:06:00,SIG-SEC-01-0127,Signal & Telecom,1.1,22.53,2026-09-12,0,Low,0.4583,Signal & Telecom,1,SMMS
COA-SEC-02-20260907-2200-0070,SEC-02,Ambala,2026-09-07,2026-09-07 22:00:00,2026-09-07 23:42:00,2026-09-07 22:00:00,2026-09-07 23:30:00,2026-09-07 22:00:00,2026-09-07 23:30:00,TRK-SEC-02-0054,Engineering,1.5,24.08,2026-09-03,4,Low,0.8824,Engineering,1,TMS
COA-SEC-04-20260907-2200-0072,SEC-04,Delhi,2026-09-07,2026-09-07 22:00:00,2026-09-08 00:54:00,2026-09-07 22:00:00,2026-09-08 00:30:00,2026-09-07 22:00:00,2026-09-07 22:42:00,OHE-SEC-04-0020,Traction Distribution,0.7,48.82,2026-08-27,12,Low,0.8621,Traction Distribution,1,TDMS
COA-SEC-04-20260907-2200-0072,SEC-04,Delhi,2026-09-07,2026-09-07 22:00:00,2026-09-08 00:54:00,2026-09-07 22:00:00,2026-09-08 00:30:00,2026-09-07 22:42:00,2026-09-08 00:30:00,OHE-SEC-04-0133,Traction Distribution,1.8,24.09,2026-08-30,9,Low,0.8621,Traction Distribution,1,TDMS
COA-SEC-07-20260907-0000-0075,SEC-07,Firozpur,2026-09-07,2026-09-07 00:00:00,2026-09-07 01:48:00,2026-09-07 00:12:00,2026-09-07 01:48:00,2026-09-07 00:12:00,2026-09-07 01:06:00,SIG-SEC-07-0173,Signal & Telecom,0.9,33.45,2026-08-20,18,Low,0.8889,Signal & Telecom|Traction Distribution,2,SMMS
COA-SEC-07-20260907-0000-0075,SEC-07,Firozpur,2026-09-07,2026-09-07 00:00:00,2026-09-07 01:48:00,2026-09-07 00:12:00,2026-09-07 01:48:00,2026-09-07 01:06:00,2026-09-07 01:48:00,OHE-SEC-07-0107,Traction Distribution,0.7,15.7,2026-09-10,0,Low,0.8889,Signal & Telecom|Traction Distribution,2,TDMS
COA-SEC-04-20260908-2200-0078,SEC-04,Delhi,2026-09-08,2026-09-08 22:00:00,2026-09-09 02:54:00,2026-09-08 22:00:00,2026-09-09 02:12:00,2026-09-08 22:00:00,2026-09-09 02:12:00,TRK-SEC-04-0074,Engineering,4.2,45.21,2026-08-10,30,Low,0.8571,Engineering,1,TMS
COA-SEC-07-20260908-2300-0082,SEC-07,Firozpur,2026-09-08,2026-09-08 23:00:00,2026-09-09 01:00:00,2026-09-08 23:01:00,2026-09-09 00:19:00,2026-09-08 23:01:00,2026-09-09 00:19:00,OHE-SEC-07-0136,Traction Distribution,1.3,41.67,2026-08-23,17,High,0.65,Traction Distribution,1,TDMS
COA-SEC-02-20260909-2300-0085,SEC-02,Ambala,2026-09-09,2026-09-09 23:00:00,2026-09-10 02:06:00,2026-09-09 23:00:00,2026-09-10 01:42:00,2026-09-09 23:00:00,2026-09-10 01:00:00,TRK-SEC-02-0149,Engineering,2.0,17.49,2026-08-30,11,Low,0.871,Engineering|Signal & Telecom,2,TMS
COA-SEC-02-20260909-2300-0085,SEC-02,Ambala,2026-09-09,2026-09-09 23:00:00,2026-09-10 02:06:00,2026-09-09 23:00:00,2026-09-10 01:42:00,2026-09-10 01:00:00,2026-09-10 01:42:00,SIG-SEC-02-0055,Signal & Telecom,0.7,16.0,2026-08-29,12,Low,0.871,Engineering|Signal & Telecom,2,SMMS
COA-SEC-04-20260909-2300-0087,SEC-04,Delhi,2026-09-09,2026-09-09 23:00:00,2026-09-10 04:18:00,2026-09-09 23:00:00,2026-09-10 04:00:00,2026-09-09 23:00:00,2026-09-10 02:06:00,TRK-SEC-04-0008,Engineering,3.1,44.48,2026-08-14,27,Low,0.9434,Engineering|Signal & Telecom|Traction Distribution,3,TMS
COA-SEC-04-20260909-2300-0087,SEC-04,Delhi,2026-09-09,2026-09-09 23:00:00,2026-09-10 04:18:00,2026-09-09 23:00:00,2026-09-10 04:00:00,2026-09-10 02:06:00,2026-09-10 03:06:00,OHE-SEC-04-0069,Traction Distribution,1.0,25.26,2026-08-20,21,Low,0.9434,Engineering|Signal & Telecom|Traction Distribution,3,TDMS
COA-SEC-04-20260909-2300-0087,SEC-04,Delhi,2026-09-09,2026-09-09 23:00:00,2026-09-10 04:18:00,2026-09-09 23:00:00,2026-09-10 04:00:00,2026-09-10 03:06:00,2026-09-10 04:00:00,SIG-SEC-04-0095,Signal & Telecom,0.9,12.39,2026-09-03,7,Low,0.9434,Engineering|Signal & Telecom|Traction Distribution,3,SMMS
COA-SEC-07-20260909-0100-0090,SEC-07,Firozpur,2026-09-09,2026-09-09 01:00:00,2026-09-09 02:48:00,2026-09-09 01:00:00,2026-09-09 01:54:00,2026-09-09 01:00:00,2026-09-09 01:54:00,SIG-SEC-07-0101,Signal & Telecom,0.9,12.45,2026-09-10,0,High,0.5,Signal & Telecom,1,SMMS
COA-SEC-06-20260910-2200-0098,SEC-06,Moradabad,2026-09-10,2026-09-10 22:00:00,2026-09-11 02:36:00,2026-09-10 22:00:00,2026-09-11 02:30:00,2026-09-10 22:00:00,2026-09-10 23:36:00,TRK-SEC-06-0205,Engineering,1.6,15.89,2026-09-01,10,Medium,0.9783,Engineering,1,TMS
COA-SEC-06-20260910-2200-0098,SEC-06,Moradabad,2026-09-10,2026-09-10 22:00:00,2026-09-11 02:36:00,2026-09-10 22:00:00,2026-09-11 02:30:00,2026-09-10 23:36:00,2026-09-11 02:30:00,TRK-SEC-06-0131,Engineering,2.9,17.51,2026-08-31,11,Medium,0.9783,Engineering,1,TMS
COA-SEC-02-20260911-0000-0101,SEC-02,Ambala,2026-09-11,2026-09-11 00:00:00,2026-09-11 03:18:00,2026-09-11 00:00:00,2026-09-11 02:54:00,2026-09-11 00:00:00,2026-09-11 02:54:00,TRK-SEC-02-0177,Engineering,2.9,32.69,2026-08-20,22,Low,0.8788,Engineering,1,TMS
COA-SEC-04-20260911-0100-0104,SEC-04,Delhi,2026-09-11,2026-09-11 01:00:00,2026-09-11 06:12:00,2026-09-11 01:00:00,2026-09-11 05:48:00,2026-09-11 01:00:00,2026-09-11 05:48:00,OHE-SEC-04-0111,Traction Distribution,4.8,75.3,2026-08-13,29,Low,0.9231,Traction Distribution,1,TDMS
COA-SEC-04-20260911-2200-0103,SEC-04,Delhi,2026-09-11,2026-09-11 22:00:00,2026-09-12 02:06:00,2026-09-11 22:00:00,2026-09-12 02:06:00,2026-09-11 22:00:00,2026-09-11 23:24:00,SIG-SEC-04-0161,Signal & Telecom,1.4,42.87,2026-08-14,29,Low,1.0,Signal & Telecom|Traction Distribution,2,SMMS
COA-SEC-04-20260911-2200-0103,SEC-04,Delhi,2026-09-11,2026-09-11 22:00:00,2026-09-12 02:06:00,2026-09-11 22:00:00,2026-09-12 02:06:00,2026-09-11 23:24:00,2026-09-12 02:06:00,OHE-SEC-04-0150,Traction Distribution,2.7,69.76,2026-08-22,21,Low,1.0,Signal & Telecom|Traction Distribution,2,TDMS
COA-SEC-06-20260911-2100-0106,SEC-06,Moradabad,2026-09-11,2026-09-11 21:00:00,2026-09-12 02:24:00,2026-09-11 21:00:00,2026-09-12 02:24:00,2026-09-11 21:00:00,2026-09-11 23:12:00,SIG-SEC-06-0131,Signal & Telecom,2.2,28.46,2026-08-28,15,Low,1.0,Engineering|Signal & Telecom|Traction Distribution,3,SMMS
COA-SEC-06-20260911-2100-0106,SEC-06,Moradabad,2026-09-11,2026-09-11 21:00:00,2026-09-12 02:24:00,2026-09-11 21:00:00,2026-09-12 02:24:00,2026-09-11 23:12:00,2026-09-12 00:36:00,SIG-SEC-06-0109,Signal & Telecom,1.4,30.35,2026-08-19,24,Low,1.0,Engineering|Signal & Telecom|Traction Distribution,3,SMMS
COA-SEC-06-20260911-2100-0106,SEC-06,Moradabad,2026-09-11,2026-09-11 21:00:00,2026-09-12 02:24:00,2026-09-11 21:00:00,2026-09-12 02:24:00,2026-09-12 00:36:00,2026-09-12 01:48:00,TRK-SEC-06-0124,Engineering,1.2,18.18,2026-08-28,15,Low,1.0,Engineering|Signal & Telecom|Traction Distribution,3,TMS
COA-SEC-06-20260911-2100-0106,SEC-06,Moradabad,2026-09-11,2026-09-11 21:00:00,2026-09-12 02:24:00,2026-09-11 21:00:00,2026-09-12 02:24:00,2026-09-12 01:48:00,2026-09-12 02:24:00,OHE-SEC-06-0015,Traction Distribution,0.6,14.3,2026-08-26,17,Low,1.0,Engineering|Signal & Telecom|Traction Distribution,3,TDMS
COA-SEC-07-20260911-2200-0108,SEC-07,Firozpur,2026-09-11,2026-09-11 22:00:00,2026-09-12 00:42:00,2026-09-11 22:00:00,2026-09-12 00:24:00,2026-09-11 22:00:00,2026-09-12 00:24:00,TRK-SEC-07-0110,Engineering,2.4,32.18,2026-08-17,26,Low,0.8889,Engineering,1,TMS
