block_id,section_id,division,window_date,coa_window_start,coa_window_end,block_start_time,block_end_time,traffic_load,available_minutes,scheduled_minutes,block_utilization,task_count,bundled_departments,bundled_department_count,internal_idle_minutes
COA-SEC-01-20260901-0000-0023,SEC-01,Ambala,2026-09-01,2026-09-01 00:00:00,2026-09-01 01:36:00,2026-09-01 00:00:00,2026-09-01 01:18:00,Low,96,78,0.8125,1,Signal & Telecom,1,0
COA-SEC-02-20260901-2300-0024,SEC-02,Ambala,2026-09-01,2026-09-01 23:00:00,2026-09-02 01:00:00,2026-09-01 23:00:00,2026-09-02 00:12:00,Low,120,72,0.6,1,Signal & Telecom,1,0
COA-SEC-03-20260901-0100-0025,SEC-03,Delhi,2026-09-01,2026-09-01 01:00:00,2026-09-01 04:06:00,2026-09-01 01:00:00,2026-09-01 03:06:00,High,186,126,0.6774,1,Signal & Telecom,1,0
COA-SEC-04-20260901-0000-0026,SEC-04,Delhi,2026-09-01,2026-09-01 00:00:00,2026-09-01 04:42:00,2026-09-01 00:00:00,2026-09-01 04:42:00,Low,282,282,1.0,2,Engineering|Signal & Telecom,2,0
COA-SEC-07-20260901-2200-0030,SEC-07,Firozpur,2026-09-01,2026-09-01 22:00:00,2026-09-02 01:24:00,2026-09-01 22:00:00,2026-09-02 01:24:00,Medium,204,204,1.0,2,Engineering|Traction Distribution,2,0
COA-SEC-08-20260901-0000-0031,SEC-08,Firozpur,2026-09-01,2026-09-01 00:00:00,2026-09-01 04:54:00,2026-09-01 00:00:00,2026-09-01 04:36:00,Low,294,276,0.9388,2,Traction Distribution,1,0
COA-SEC-02-20260902-0000-0033,SEC-02,Ambala,2026-09-02,2026-09-02 00:00:00,2026-09-02 01:42:00,2026-09-02 00:12:00,2026-09-02 01:30:00,High,102,78,0.7647,2,Signal & Telecom,1,12
COA-SEC-04-20260902-2300-0036,SEC-04,Delhi,2026-09-02,2026-09-02 23:00:00,2026-09-03 02:36:00,2026-09-02 23:00:00,2026-09-03 02:12:00,Low,216,192,0.8889,1,Signal & Telecom,1,0
COA-SEC-02-20260903-0100-0038,SEC-02,Ambala,2026-09-03,2026-09-03 01:00:00,2026-09-03 03:42:00,2026-09-03 01:00:00,2026-09-03 03:42:00,Medium,162,162,1.0,2,Engineering|Signal & Telecom,2,0
COA-SEC-05-20260903-2300-0041,SEC-05,Moradabad,2026-09-03,2026-09-03 23:00:00,2026-09-04 02:18:00,2026-09-03 23:00:00,2026-09-04 02:18:00,Medium,198,198,1.0,2,Signal & Telecom,1,0
COA-SEC-06-20260903-0000-0042,SEC-06,Moradabad,2026-09-03,2026-09-03 00:00:00,2026-09-03 05:12:00,2026-09-03 00:00:00,2026-09-03 05:12:00,Medium,312,312,1.0,3,Signal & Telecom,1,0
COA-SEC-01-20260904-2300-0044,SEC-01,Ambala,2026-09-04,2026-09-04 23:00:00,2026-09-05 02:24:00,2026-09-04 23:00:00,2026-09-05 02:24:00,Low,204,204,1.0,2,Signal & Telecom,1,0
COA-SEC-02-20260904-2300-0045,SEC-02,Ambala,2026-09-04,2026-09-04 23:00:00,2026-09-05 01:12:00,2026-09-04 23:00:00,2026-09-05 00:54:00,High,132,114,0.8636,1,Engineering,1,13
COA-SEC-04-20260904-0100-0047,SEC-04,Delhi,2026-09-04,2026-09-04 01:00:00,2026-09-04 05:48:00,2026-09-04 01:00:00,2026-09-04 05:42:00,Low,288,282,0.9792,2,Engineering|Traction Distribution,2,0
COA-SEC-05-20260904-2200-0048,SEC-05,Moradabad,2026-09-04,2026-09-04 22:00:00,2026-09-05 00:42:00,2026-09-04 22:00:00,2026-09-05 00:30:00,Low,162,150,0.9259,2,Signal & Telecom,1,0
COA-SEC-07-20260904-2300-0049,SEC-07,Firozpur,2026-09-04,2026-09-04 23:00:00,2026-09-05 01:30:00,2026-09-04 23:00:00,2026-09-05 01:18:00,Low,150,138,0.92,1,Signal & Telecom,1,0
COA-SEC-01-20260905-2200-0051,SEC-01,Ambala,2026-09-05,2026-09-05 22:00:00,2026-09-05 23:36:00,2026-09-05 22:00:00,2026-09-05 23:36:00,High,96,96,1.0,1,Traction Distribution,1,0
COA-SEC-02-20260905-0100-0052,SEC-02,Ambala,2026-09-05,2026-09-05 01:00:00,2026-09-05 03:12:00,2026-09-05 01:00:00,2026-09-05 02:24:00,Medium,132,84,0.6364,1,Traction Distribution,1,0
COA-SEC-04-20260905-2300-0054,SEC-04,Delhi,2026-09-05,2026-09-05 23:00:00,2026-09-06 05:00:00,2026-09-05 23:00:00,2026-09-06 04:30:00,Medium,360,330,0.9167,2,Traction Distribution,1,0
COA-SEC-01-20260906-0000-0061,SEC-01,Ambala,2026-09-06,2026-09-06 00:00:00,2026-09-06 03:24:00,2026-09-06 00:00:00,2026-09-06 03:24:00,Low,204,204,1.0,2,Signal & Telecom,1,0
COA-SEC-02-20260906-2300-0062,SEC-02,Ambala,2026-09-06,2026-09-06 23:00:00,2026-09-07 01:00:00,2026-09-06 23:00:00,2026-09-07 00:48:00,Low,120,108,0.9,1,Engineering,1,0
COA-SEC-04-20260906-2100-0064,SEC-04,Delhi,2026-09-06,2026-09-06 21:00:00,2026-09-07 00:48:00,2026-09-06 21:00:00,2026-09-07 00:24:00,Low,228,204,0.8947,2,Traction Distribution,1,0
COA-SEC-07-20260906-2200-0067,SEC-07,Firozpur,2026-09-06,2026-09-06 22:00:00,2026-09-07 01:06:00,2026-09-06 22:00:00,2026-09-07 00:12:00,Low,186,132,0.7097,2,Traction Distribution,1,0
COA-SEC-01-20260907-2200-0069,SEC-01,Ambala,2026-09-07,2026-09-07 22:00:00,2026-09-08 00:24:00,2026-09-07 22:00:00,2026-09-07 23:06:00,Low,144,66,0.4583,1,Signal & Telecom,1,0
COA-SEC-02-20260907-2200-0070,SEC-02,Ambala,2026-09-07,2026-09-07 22:00:00,2026-09-07 23:42:00,2026-09-07 22:00:00,2026-09-07 23:30:00,Low,102,90,0.8824,1,Engineering,1,0
COA-SEC-04-20260907-2200-0072,SEC-04,Delhi,2026-09-07,2026-09-07 22:00:00,2026-09-08 00:54:00,2026-09-07 22:00:00,2026-09-08 00:30:00,Low,174,150,0.8621,2,Traction Distribution,1,0
COA-SEC-07-20260907-0000-0075,SEC-07,Firozpur,2026-09-07,2026-09-07 00:00:00,2026-09-07 01:48:00,2026-09-07 00:12:00,2026-09-07 01:48:00,Low,108,96,0.8889,2,Signal & Telecom|Traction Distribution,2,12
COA-SEC-04-20260908-2200-0078,SEC-04,Delhi,2026-09-08,2026-09-08 22:00:00,2026-09-09 02:54:00,2026-09-08 22:00:00,2026-09-09 02:12:00,Low,294,252,0.8571,1,Engineering,1,0
COA-SEC-07-20260908-2300-0082,SEC-07,Firozpur,2026-09-08,2026-09-08 23:00:00,2026-09-09 01:00:00,2026-09-08 23:01:00,2026-09-09 00:19:00,High,120,78,0.65,1,Traction Distribution,1,1
COA-SEC-02-20260909-2300-0085,SEC-02,Ambala,2026-09-09,2026-09-09 23:00:00,2026-09-10 02:06:00,2026-09-09 23:00:00,2026-09-10 01:42:00,Low,186,162,0.871,2,Engineering|Signal & Telecom,2,13
COA-SEC-04-20260909-2300-0087,SEC-04,Delhi,2026-09-09,2026-09-09 23:00:00,2026-09-10 04:18:00,2026-09-09 23:00:00,2026-09-10 04:00:00,Low,318,300,0.9434,3,Engineering|Signal & Telecom|Traction Distribution,3,0
COA-SEC-07-20260909-0100-0090,SEC-07,Firozpur,2026-09-09,2026-09-09 01:00:00,2026-09-09 02:48:00,2026-09-09 01:00:00,2026-09-09 01:54:00,High,108,54,0.5,1,Signal & Telecom,1,0
COA-SEC-06-20260910-2200-0098,SEC-06,Moradabad,2026-09-10,2026-09-10 22:00:00,2026-09-11 02:36:00,2026-09-10 22:00:00,2026-09-11 02:30:00,Medium,276,270,0.9783,2,Engineering,1,0
COA-SEC-02-20260911-0000-0101,SEC-02,Ambala,2026-09-11,2026-09-11 00:00:00,2026-09-11 03:18:00,2026-09-11 00:00:00,2026-09-11 02:54:00,Low,198,174,0.8788,1,Engineering,1,19
COA-SEC-04-20260911-0100-0104,SEC-04,Delhi,2026-09-11,2026-09-11 01:00:00,2026-09-11 06:12:00,2026-09-11 01:00:00,2026-09-11 05:48:00,Low,312,288,0.9231,1,Traction Distribution,1,0
COA-SEC-04-20260911-2200-0103,SEC-04,Delhi,2026-09-11,2026-09-11 22:00:00,2026-09-12 02:06:00,2026-09-11 22:00:00,2026-09-12 02:06:00,Low,246,246,1.0,2,Signal & Telecom|Traction Distribution,2,0
COA-SEC-06-20260911-2100-0106,SEC-06,Moradabad,2026-09-11,2026-09-11 21:00:00,2026-09-12 02:24:00,2026-09-11 21:00:00,2026-09-12 02:24:00,Low,324,324,1.0,4,Engineering|Signal & Telecom|Traction Distribution,3,0
COA-SEC-07-20260911-2200-0108,SEC-07,Firozpur,2026-09-11,2026-09-11 22:00:00,2026-09-12 00:42:00,2026-09-11 22:00:00,2026-09-12 00:24:00,Low,162,144,0.8889,1,Engineering,1,0
COA-SEC-01-20260912-0000-0110,SEC-01,Ambala,2026-09-12,2026-09-12 00:00:00,2026-09-12 03:18:00,2026-09-12 00:00:00,2026-09-12 03:18:00,High,198,198,1.0,3,Signal & Telecom,1,0
COA-SEC-02-20260912-0000-0111,SEC-02,Ambala,2026-09-12,2026-09-12 00:00:00,2026-09-12 02:42:00,2026-09-12 00:00:00,2026-09-12 02:42:00,Low,162,162,1.0,1,Engineering,1,0
COA-SEC-07-20260912-2300-0116,SEC-07,Firozpur,2026-09-12,2026-09-12 23:00:00,2026-09-13 01:48:00,2026-09-12 23:00:00,2026-09-13 01:24:00,Medium,168,144,0.8571,1,Engineering,1,0
COA-SEC-02-20260913-0100-0119,SEC-02,Ambala,2026-09-13,2026-09-13 01:00:00,2026-09-13 03:00:00,2026-09-13 01:00:00,2026-09-13 03:00:00,Low,120,120,1.0,2,Engineering|Signal & Telecom,2,0
COA-SEC-04-20260913-2100-0120,SEC-04,Delhi,2026-09-13,2026-09-13 21:00:00,2026-09-14 01:54:00,2026-09-13 21:00:00,2026-09-14 01:30:00,Low,294,270,0.9184,2,Engineering|Signal & Telecom,2,0
COA-SEC-04-20260913-2300-0121,SEC-04,Delhi,2026-09-13,2026-09-13 23:00:00,2026-09-14 03:06:00,2026-09-14 01:30:00,2026-09-14 03:06:00,Low,246,96,0.3902,1,Engineering,1,150
COA-SEC-05-20260913-2200-0122,SEC-05,Moradabad,2026-09-13,2026-09-13 22:00:00,2026-09-14 00:00:00,2026-09-13 22:00:00,2026-09-14 00:00:00,Low,120,120,1.0,1,Traction Distribution,1,0
COA-SEC-02-20260914-0100-0127,SEC-02,Ambala,2026-09-14,2026-09-14 01:00:00,2026-09-14 04:30:00,2026-09-14 01:00:00,2026-09-14 04:24:00,Low,210,204,0.9714,2,Signal & Telecom|Traction Distribution,2,0
COA-SEC-03-20260914-2300-0128,SEC-03,Delhi,2026-09-14,2026-09-14 23:00:00,2026-09-15 01:18:00,2026-09-14 23:00:00,2026-09-15 01:18:00,Low,138,138,1.0,3,Signal & Telecom,1,0
COA-SEC-04-20260914-2100-0129,SEC-04,Delhi,2026-09-14,2026-09-14 21:00:00,2026-09-15 01:00:00,2026-09-14 21:00:00,2026-09-15 01:00:00,Low,240,240,1.0,2,Signal & Telecom|Traction Distribution,2,0
COA-SEC-07-20260914-0000-0132,SEC-07,Firozpur,2026-09-14,2026-09-14 00:00:00,2026-09-14 03:06:00,2026-09-14 00:00:00,2026-09-14 02:06:00,Medium,186,126,0.6774,1,Signal & Telecom,1,55
COA-SEC-02-20260915-0100-0135,SEC-02,Ambala,2026-09-15,2026-09-15 01:00:00,2026-09-15 04:12:00,2026-09-15 01:00:00,2026-09-15 04:12:00,Medium,192,192,1.0,1,Signal & Telecom,1,0
COA-SEC-04-20260915-2300-0137,SEC-04,Delhi,2026-09-15,2026-09-15 23:00:00,2026-09-16 01:00:00,2026-09-15 23:00:00,2026-09-16 00:30:00,Low,120,90,0.75,1,Engineering,1,0
COA-SEC-06-20260915-2200-0139,SEC-06,Moradabad,2026-09-15,2026-09-15 22:00:00,2026-09-16 00:12:00,2026-09-15 22:00:00,2026-09-15 23:48:00,Low,132,108,0.8182,2,Signal & Telecom,1,0
COA-SEC-07-20260915-0000-0140,SEC-07,Firozpur,2026-09-15,2026-09-15 00:00:00,2026-09-15 01:48:00,2026-09-15 00:00:00,2026-09-15 01:48:00,Low,108,108,1.0,1,Signal & Telecom,1,0
COA-SEC-04-20260916-0100-0144,SEC-04,Delhi,2026-09-16,2026-09-16 01:00:00,2026-09-16 04:12:00,2026-09-16 01:00:00,2026-09-16 02:36:00,Low,192,96,0.5,1,Engineering,1,0
COA-SEC-04-20260916-0200-0145,SEC-04,Delhi,2026-09-16,2026-09-16 02:00:00,2026-09-16 07:54:00,2026-09-16 02:36:00,2026-09-16 07:24:00,Low,354,288,0.8136,1,Engineering,1,36
COA-SEC-06-20260916-2200-0147,SEC-06,Moradabad,2026-09-16,2026-09-16 22:00:00,2026-09-17 00:48:00,2026-09-16 22:00:00,2026-09-17 00:48:00,Low,168,168,1.0,1,Traction Distribution,1,0
COA-SEC-07-20260916-2300-0148,SEC-07,Firozpur,2026-09-16,2026-09-16 23:00:00,2026-09-17 01:48:00,2026-09-16 23:00:00,2026-09-17 01:42:00,Low,168,162,0.9643,1,Engineering,1,2
COA-SEC-02-20260917-2200-0152,SEC-02,Ambala,2026-09-17,2026-09-17 22:00:00,2026-09-17 23:48:00,2026-09-17 22:00:00,2026-09-17 23:48:00,Medium,108,108,1.0,1,Traction Distribution,1,0
COA-SEC-04-20260917-0000-0154,SEC-04,Delhi,2026-09-17,2026-09-17 00:00:00,2026-09-17 05:24:00,2026-09-17 00:00:00,2026-09-17 05:12:00,Low,324,312,0.963,2,Engineering|Traction Distribution,2,0
COA-SEC-07-20260917-0100-0157,SEC-07,Firozpur,2026-09-17,2026-09-17 01:00:00,2026-09-17 03:36:00,2026-09-17 01:42:00,2026-09-17 03:06:00,Medium,156,84,0.5385,1,Traction Distribution,1,49
COA-SEC-08-20260917-2100-0158,SEC-08,Firozpur,2026-09-17,2026-09-17 21:00:00,2026-09-18 00:18:00,2026-09-17 21:00:00,2026-09-17 23:30:00,Low,198,150,0.7576,2,Signal & Telecom,1,0
COA-SEC-02-20260918-2200-0161,SEC-02,Ambala,2026-09-18,2026-09-18 22:00:00,2026-09-19 00:00:00,2026-09-18 22:00:00,2026-09-19 00:00:00,High,120,120,1.0,1,Engineering,1,0
COA-SEC-04-20260918-0200-0164,SEC-04,Delhi,2026-09-18,2026-09-18 02:00:00,2026-09-18 06:24:00,2026-09-18 02:00:00,2026-09-18 06:00:00,Low,264,240,0.9091,2,Signal & Telecom,1,0
COA-SEC-04-20260918-2100-0163,SEC-04,Delhi,2026-09-18,2026-09-18 21:00:00,2026-09-19 01:06:00,2026-09-18 21:00:00,2026-09-19 00:42:00,Low,246,222,0.9024,1,Signal & Telecom,1,0
COA-SEC-07-20260918-0100-0168,SEC-07,Firozpur,2026-09-18,2026-09-18 01:00:00,2026-09-18 04:00:00,2026-09-18 01:00:00,2026-09-18 03:24:00,Low,180,144,0.8,2,Signal & Telecom|Traction Distribution,2,0
COA-SEC-01-20260919-2300-0169,SEC-01,Ambala,2026-09-19,2026-09-19 23:00:00,2026-09-20 01:42:00,2026-09-19 23:00:00,2026-09-20 01:06:00,Low,162,126,0.7778,1,Signal & Telecom,1,0
COA-SEC-02-20260919-0100-0170,SEC-02,Ambala,2026-09-19,2026-09-19 01:00:00,2026-09-19 04:06:00,2026-09-19 01:00:00,2026-09-19 04:00:00,Low,186,180,0.9677,1,Signal & Telecom,1,0
COA-SEC-04-20260919-2100-0173,SEC-04,Delhi,2026-09-19,2026-09-19 21:00:00,2026-09-20 01:24:00,2026-09-19 21:00:00,2026-09-20 00:18:00,Low,264,198,0.75,1,Traction Distribution,1,0
COA-SEC-04-20260919-2200-0172,SEC-04,Delhi,2026-09-19,2026-09-19 22:00:00,2026-09-20 03:54:00,2026-09-20 00:18:00,2026-09-20 03:48:00,Low,354,210,0.5932,1,Signal & Telecom,1,138
COA-SEC-07-20260919-0000-0176,SEC-07,Firozpur,2026-09-19,2026-09-19 00:00:00,2026-09-19 01:36:00,2026-09-19 00:00:00,2026-09-19 01:24:00,Low,96,84,0.875,1,Signal & Telecom,1,0
COA-SEC-04-20260920-2100-0180,SEC-04,Delhi,2026-09-20,2026-09-20 21:00:00,2026-09-21 01:24:00,2026-09-20 21:00:00,2026-09-21 00:48:00,Low,264,228,0.8636,1,Traction Distribution,1,0
COA-SEC-07-20260920-2300-0184,SEC-07,Firozpur,2026-09-20,2026-09-20 23:00:00,2026-09-21 00:30:00,2026-09-20 23:00:00,2026-09-21 00:06:00,Low,90,66,0.7333,1,Traction Distribution,1,19
COA-SEC-02-20260921-0100-0186,SEC-02,Ambala,2026-09-21,2026-09-21 01:00:00,2026-09-21 03:12:00,2026-09-21 01:00:00,2026-09-21 03:00:00,Low,132,120,0.9091,1,Signal & Telecom,1,0
COA-SEC-04-20260921-0000-0188,SEC-04,Delhi,2026-09-21,2026-09-21 00:00:00,2026-09-21 03:54:00,2026-09-21 00:48:00,2026-09-21 02:42:00,Low,234,114,0.4872,1,Traction Distribution,1,48
COA-SEC-04-20260921-2200-0189,SEC-04,Delhi,2026-09-21,2026-09-21 22:00:00,2026-09-22 03:36:00,2026-09-21 22:00:00,2026-09-22 03:36:00,Medium,336,336,1.0,1,Signal & Telecom,1,0
COA-SEC-05-20260921-0100-0190,SEC-05,Moradabad,2026-09-21,2026-09-21 01:00:00,2026-09-21 02:54:00,2026-09-21 01:00:00,2026-09-21 02:54:00,Low,114,114,1.0,1,Signal & Telecom,1,0
COA-SEC-07-20260921-0000-0192,SEC-07,Firozpur,2026-09-21,2026-09-21 00:00:00,2026-09-21 02:54:00,2026-09-21 00:06:00,2026-09-21 02:54:00,Low,174,168,0.9655,1,Traction Distribution,1,6
COA-SEC-02-20260922-2200-0195,SEC-02,Ambala,2026-09-22,2026-09-22 22:00:00,2026-09-23 00:30:00,2026-09-22 22:00:00,2026-09-23 00:24:00,Medium,150,144,0.96,1,Traction Distribution,1,0
COA-SEC-04-20260922-2200-0196,SEC-04,Delhi,2026-09-22,2026-09-22 22:00:00,2026-09-23 02:24:00,2026-09-22 22:00:00,2026-09-23 02:24:00,Low,264,264,1.0,2,Engineering|Traction Distribution,2,0
COA-SEC-07-20260922-0100-0200,SEC-07,Firozpur,2026-09-22,2026-09-22 01:00:00,2026-09-22 04:06:00,2026-09-22 01:00:00,2026-09-22 03:30:00,Low,186,150,0.8065,1,Engineering,1,0
COA-SEC-02-20260923-2200-0203,SEC-02,Ambala,2026-09-23,2026-09-23 22:00:00,2026-09-24 00:48:00,2026-09-23 22:00:00,2026-09-24 00:24:00,Low,168,144,0.8571,2,Engineering|Signal & Telecom,2,0
COA-SEC-03-20260923-2200-0204,SEC-03,Delhi,2026-09-23,2026-09-23 22:00:00,2026-09-24 00:06:00,2026-09-23 22:00:00,2026-09-24 00:06:00,Low,126,126,1.0,2,Signal & Telecom,1,0
COA-SEC-04-20260923-2100-0205,SEC-04,Delhi,2026-09-23,2026-09-23 21:00:00,2026-09-23 23:48:00,2026-09-23 21:00:00,2026-09-23 23:36:00,Low,168,156,0.9286,1,Traction Distribution,1,0
COA-SEC-02-20260924-2200-0211,SEC-02,Ambala,2026-09-24,2026-09-24 22:00:00,2026-09-24 23:36:00,2026-09-24 22:00:00,2026-09-24 23:00:00,Low,96,60,0.625,1,Engineering,1,0
COA-SEC-05-20260924-0000-0213,SEC-05,Moradabad,2026-09-24,2026-09-24 00:00:00,2026-09-24 01:30:00,2026-09-24 00:00:00,2026-09-24 01:30:00,Low,90,90,1.0,2,Signal & Telecom,1,0
COA-SEC-06-20260924-0100-0214,SEC-06,Moradabad,2026-09-24,2026-09-24 01:00:00,2026-09-24 06:24:00,2026-09-24 01:00:00,2026-09-24 06:24:00,Low,324,324,1.0,4,Engineering|Traction Distribution,2,0
COA-SEC-07-20260924-0100-0216,SEC-07,Firozpur,2026-09-24,2026-09-24 01:00:00,2026-09-24 02:42:00,2026-09-24 01:00:00,2026-09-24 02:42:00,High,102,102,1.0,2,Engineering|Signal & Telecom,2,0
COA-SEC-08-20260924-2300-0217,SEC-08,Firozpur,2026-09-24,2026-09-24 23:00:00,2026-09-25 02:54:00,2026-09-24 23:00:00,2026-09-25 02:42:00,Low,234,222,0.9487,2,Engineering,1,0
COA-SEC-07-20260925-2200-0224,SEC-07,Firozpur,2026-09-25,2026-09-25 22:00:00,2026-09-26 00:06:00,2026-09-25 22:00:00,2026-09-26 00:06:00,Low,126,126,1.0,1,Engineering,1,0
COA-SEC-03-20260926-2300-0228,SEC-03,Delhi,2026-09-26,2026-09-26 23:00:00,2026-09-27 00:48:00,2026-09-26 23:00:00,2026-09-27 00:24:00,Low,108,84,0.7778,1,Traction Distribution,1,0
COA-SEC-04-20260926-0000-0229,SEC-04,Delhi,2026-09-26,2026-09-26 00:00:00,2026-09-26 05:54:00,2026-09-26 00:00:00,2026-09-26 04:48:00,Low,354,288,0.8136,1,Engineering,1,0
COA-SEC-07-20260926-2200-0232,SEC-07,Firozpur,2026-09-26,2026-09-26 22:00:00,2026-09-27 00:12:00,2026-09-26 22:01:00,2026-09-26 23:25:00,Low,132,84,0.6364,2,Signal & Telecom,1,1
COA-SEC-08-20260926-0000-0233,SEC-08,Firozpur,2026-09-26,2026-09-26 00:00:00,2026-09-26 02:06:00,2026-09-26 00:00:00,2026-09-26 01:42:00,Low,126,102,0.8095,1,Traction Distribution,1,0
COA-SEC-02-20260927-0000-0235,SEC-02,Ambala,2026-09-27,2026-09-27 00:00:00,2026-09-27 02:36:00,2026-09-27 00:00:00,2026-09-27 02:30:00,Low,156,150,0.9615,2,Signal & Telecom|Traction Distribution,2,0
COA-SEC-07-20260927-0000-0240,SEC-07,Firozpur,2026-09-27,2026-09-27 00:00:00,2026-09-27 02:36:00,2026-09-27 00:00:00,2026-09-27 02:36:00,Medium,156,156,1.0,1,Signal & Telecom,1,0
COA-SEC-08-20260927-2300-0241,SEC-08,Firozpur,2026-09-27,2026-09-27 23:00:00,2026-09-28 04:48:00,2026-09-27 23:00:00,2026-09-28 04:48:00,Low,348,348,1.0,3,Engineering|Traction Distribution,2,0
COA-SEC-02-20260928-0100-0243,SEC-02,Ambala,2026-09-28,2026-09-28 01:00:00,2026-09-28 03:30:00,2026-09-28 01:00:00,2026-09-28 03:12:00,Low,150,132,0.88,1,Signal & Telecom,1,0
COA-SEC-04-20260928-0000-0246,SEC-04,Delhi,2026-09-28,2026-09-28 00:00:00,2026-09-28 02:48:00,2026-09-28 00:00:00,2026-09-28 02:48:00,Low,168,168,1.0,2,Engineering|Traction Distribution,2,0
COA-SEC-05-20260928-2200-0247,SEC-05,Moradabad,2026-09-28,2026-09-28 22:00:00,2026-09-29 00:54:00,2026-09-28 22:00:00,2026-09-29 00:18:00,Medium,174,138,0.7931,2,Traction Distribution,1,0
COA-SEC-07-20260928-0000-0248,SEC-07,Firozpur,2026-09-28,2026-09-28 00:00:00,2026-09-28 03:00:00,2026-09-28 00:00:00,2026-09-28 01:48:00,Medium,180,108,0.6,1,Engineering,1,68
COA-SEC-02-20260929-2300-0251,SEC-02,Ambala,2026-09-29,2026-09-29 23:00:00,2026-09-30 01:48:00,2026-09-29 23:00:00,2026-09-30 01:36:00,Medium,168,156,0.9286,1,Engineering,1,0
COA-SEC-06-20260929-2300-0255,SEC-06,Moradabad,2026-09-29,2026-09-29 23:00:00,2026-09-30 05:00:00,2026-09-29 23:00:00,2026-09-30 01:48:00,Low,360,168,0.4667,1,Traction Distribution,1,0
COA-SEC-07-20260929-2200-0256,SEC-07,Firozpur,2026-09-29,2026-09-29 22:00:00,2026-09-29 23:54:00,2026-09-29 22:00:00,2026-09-29 23:18:00,Low,114,78,0.6842,1,Traction Distribution,1,31
COA-SEC-02-20260930-2300-0259,SEC-02,Ambala,2026-09-30,2026-09-30 23:00:00,2026-10-01 01:18:00,2026-09-30 23:00:00,2026-10-01 01:00:00,Low,138,120,0.8696,2,Traction Distribution,1,0
COA-SEC-04-20260930-2100-0261,SEC-04,Delhi,2026-09-30,2026-09-30 21:00:00,2026-10-01 01:18:00,2026-09-30 21:00:00,2026-09-30 23:54:00,Low,258,174,0.6744,1,Traction Distribution,1,0
COA-SEC-06-20260930-0200-0262,SEC-06,Moradabad,2026-09-30,2026-09-30 02:00:00,2026-09-30 07:42:00,2026-09-30 02:00:00,2026-09-30 07:42:00,Medium,342,342,1.0,4,Signal & Telecom,1,0
COA-SEC-07-20260930-2200-0264,SEC-07,Firozpur,2026-09-30,2026-09-30 22:00:00,2026-10-01 00:18:00,2026-09-30 22:00:00,2026-09-30 23:24:00,Medium,138,84,0.6087,1,Traction Distribution,1,0
COA-SEC-01-20261001-0100-0267,SEC-01,Ambala,2026-10-01,2026-10-01 01:00:00,2026-10-01 03:42:00,2026-10-01 01:00:00,2026-10-01 03:42:00,Low,162,162,1.0,2,Traction Distribution,1,0
